France,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Indonesia,,252.932519014,890.345882072,897.992588719,942.573825869,1119.53548125,1560.64590986,1935.81058204,2253.16124507,2371.22832797,2211.41088014,2558.04113827,3000.31665611
,,,,Malaysia,,222.087089866,227.56779318,296.804864063,190.694126621,188.752030559,194.916113636,301.780356896,317.307451437,381.7591172,319.351782691,520.147970452,794.279079586
,,,,Myanmar,,178.903489059,185.61981287,190.712912653,,,43.4610253378,78.0212630023,62.6264706783,66.2676203442,70.8185961616,85.3974279847,27.707409753
,,,,Philippines,,207.10502428,391.164916387,261.44088026,708.292470306,861.181139425,994.335579698,1220.3703213,1013.15712564,1002.65790782,1076.97714163,1014.41793242,1103.01878826
,,,,Singapore,,3074.84863707,3413.5168977,4746.35182617,4545.3307181,3171.03411339,3490.0520347,5006.60972587,6099.81824407,6393.38476277,8535.64513737,10111.8318136,10188.4103863
,,,,Thailand,,380.720725484,1163.00775408,1115.22848923,930.314917729,1169.08288927,1210.32370562,1588.39514678,1606.02104806,1988.02861032,2095.16148644,2259.15014032,2531.92949124
,,,,Viet Nam,,353.400488239,376.483123279,344.798842082,305.110602593,375.144660736,485.973283322,531.427847997,55.6679739363,661.235602999,606.63476712,675.416021334,745.461262402
,,,South Asia,,,511.152825882,2081.66852286,1365.30237469,2005.01253133,1684.61187274,2307.38534521,3522.73362952,3689.39497263,4032.2406379,4923.89685312,4790.01948969,5096.84399409
,,,,India,,511.152825882,598.80741892,798.215634417,873.106679743,1216.27089691,1763.4640281,2486.37572096,2647.01216067,3427.18845215,4461.57155818,4470.42596496,4687.82985012
,,,,"Iran, Islamic Republic of",,,1482.86110394,567.086740274,1131.90585159,468.340975824,543.921317106,1036.35790856,1042.38281196,605.052185751,462.325174942,319.593404731,409.014143973
,,,West Asia,,,2986.71883951,4539.82016901,4815.81679436,6407.32265446,7708.16104795,12192.7931084,14313.2215127,15403.3283882,18021.9115327,20612.2201094,23846.5848428,25724.350855
,,,,Jordan,,74.0290299553,82.8472611115,99.7769543022,138.934292252,88.4775143245,163.308095209,229.647491101,199.013006822,270.832883146,213.791988412,194.085063602,226.936879882
,,,,Kuwait,,,12.5843940929,22.7339895878,31.328320802,89.6572145155,121.164070639,125.128440664,144.736732234,136.857042015,109.568394061,119.038839009,133.259446907
,,,,Lebanon,,392.177599168,580.979527288,521.618761099,457.66590389,297.28444813,379.29622113,421.020400352,371.583726024,489.80415037,473.014774363,464.51025222,504.010977412
,,,,Oman,,113.68743886,108.016049297,59.3609728127,110.330173259,110.891817953,289.740168919,287.059363876,446.735490838,541.665766291,738.918559951,816.451167551,934.135528816
,,,,Qatar,,310.216887432,507.570561746,666.863694576,580.254985289,534.40418652,1011.45658968,1420.57582636,1280.36340053,2093.19244261,2335.67747341,2865.98943918,3262.87734853
,,,,Saudi Arabia,,421.260432365,542.177645502,706.016676644,942.573825869,1067.62867285,1423.67783,1707.63519024,1994.30516627,1977.94440723,2331.66887362,2502.40342004,2803.72598691
,,,,Turkey,,906.855616953,1177.68954719,1621.69125727,1876.97504631,2828.921058,4331.61552533,4472.23767926,5634.9906617,6910.56032154,8887.06571832,4660.62932729,5137.74540849
,,,,United Arab Emirates,,558.742916568,1296.19259157,769.166647722,1717.60924049,1824.99619547,2462.79143581,2593.83897,3987.21863318,4029.35943701,4286.52936767,10937.3402842,11321.7753853
,,,,Yemen,,148.939357886,99.6264532353,181.871916703,55.8461370818,212.346034379,846.831493703,1505.95758587,1344.38157056,1571.69508251,1135.76993844,1146.39577567,1223.08423053
,,Latin America and the Caribbean,,,,17026.6768897,14275.9463989,15998.4136727,17094.3663507,17569.2749445,21419.7004877,29583.3075716,28790.0844205,37635.6865542,43685.7207586,47003.5210395,47801.8788199
,,,South America,,,14295.5344632,11203.2568412,11955.5525244,12998.528931,14017.1976694,17824.2883916,24161.5658426,23329.0561773,31494.4068688,38263.4210925,40720.3402205,40331.4333903
,,,,Argentina,,3650.33621518,2853.51136056,1970.27909761,2103.08379645,1160.82498794,1706.83299508,1810.68214137,2325.52961119,2139.29165676,2450.59066718,2581.3313459,2510.81908381
,,,,Brazil,,7134.10711296,5367.24408062,7048.79977165,8500.87174458,11444.2715528,13313.5607618,18049.409541,16795.0277366,25301.2655675,30771.3481322,33433.093056,32565.442263
,,,,Chile,,584.300557862,621.87880809,649.181702675,780.483818241,391.66046341,342.420199631,404.827308031,720.900262474,802.414446341,1687.62050853,1469.87088168,1736.33101119
,,,,Colombia,,230.900069623,207.642502533,200.816908026,227.470851041,188.752030559,230.475134367,329.750243632,190.662810732,250.664476954,364.782580229,522.735771301,620.118218282
,,,,Peru,,307.572993505,298.879359706,64.4129704989,79.0018524572,97.9151158525,81.6540476043,76.5491637004,94.6355556916,119.569836708,172.369790658,172.088756393,188.674266413
,,,,Uruguay,,408.922260706,356.557832632,338.483844974,284.679089027,333.855154051,317.397185043,481.376471731,484.311373245,502.76955435,470.342374507,275.600790314,302.142706354
,,,,"Venezuela, Bolivarian Rep.",,1523.76419991,1361.21196105,1443.60833883,888.089789692,248.9167403,1680.49297973,2838.20745412,2530.1094154,2199.79687534,1985.59309238,1811.46059362,1902.57546971
,,,Central America,,,1435.63440235,1568.85446358,2087.73804382,2228.39707966,2193.06265506,2329.77435826,3397.60518886,3551.61673713,3631.75371495,3186.83694727,3237.33898088,3873.75976356
,,,,Mexico,,1371.29965012,1508.02989213,2009.43207968,2082.65228288,2000.77152392,2167.78326382,3212.12067681,3367.91242314,3517.94628001,3069.25123365,3131.23902611,3732.58391387
,,,,Panama,,64.3347522231,60.8245714489,78.3059641359,145.744796775,192.291131132,161.991094441,185.484512043,183.70431399,113.807434939,117.585593627,106.099834769,141.175849694
,,,Caribbean,,,1295.50802422,1503.8350941,1955.12310455,1867.44033998,1359.01462002,1265.63773787,2024.13654015,1909.41150601,2509.52597042,2235.46271884,3045.84183812,3596.68566603
,,,,Bahamas,,85.4859036389,170.938019762,234.917892408,209.763539283,359.808558253,429.342250307,624.170104019,642.965098964,615.136388847,305.989783415,1173.56768458,1182.18281613
,,,,Barbados,,109.280948982,113.259546836,198.290909183,136.210090444,142.74372311,143.553083691,457.8228829,109.944248524,121.01043715,146.981992034,205.730167418,427.485750475
,,,,British Virgin Islands,,109.280948982,16.7791921238,58.0979733911,43.5872289419,34.2113055388,39.5100230343,95.6864546255,,,788.357957271,789.279258647,845.735697699
,,,,Cayman Islands,,571.962386202,656.485891846,781.796641937,745.069194726,182.853529604,129.066075246,214.926498082,160.045425067,132.535240688,72.1547960892,-58.2255190805,101.593835761
,,,,Netherlands Antilles ,,336.655826702,186.668512378,275.333873897,198.866732048,87.2978141335,110.628064496,204.621802968,239.372287926,211.768265013,239.179787036,115.157137737,120.065442263
,,,,Trinidad and Tobago,,39.6584089046,77.6037635728,41.678980911,354.146235153,310.261150231,188.331109797,126.600539966,104.37745113,133.975841131,149.654391889,137.153444945,147.772852016
,,Oceania,,,,97.8240752981,68.1654680031,164.189924801,72.1913479351,187.572330368,708.546413083,980.418135086,1086.91719111,1172.64876,1344.21709689,1216.26637506,1232.32003378
,,,Vanuatu,,,86.3672016145,66.0680689876,130.088940419,8.17260542661,1.17970019099,2.63400153562,11.7767944154,4.17509804522,17.2872053072,40.0859978273,37.5231122963,42.2208148617
,Transition economies,,,,,477.663502807,1104.28058165,2793.75472046,4116.2689332,4481.68102558,6694.31490279,10746.3249041,12628.2798874,15497.9795579,16739.9129527,17625.5116759,21045.7568181
,,South-East Europe,,,,,,261.44088026,482.18372017,574.513993014,,,,,0.0001,,
,,CIS,,,,477.663502807,1104.28058165,2532.3138402,3634.08521303,3907.16703257,6694.31490279,10746.3249041,12628.2798874,15497.9795579,16739.9128527,17625.5116759,21045.7568181
,,,Azerbaijan,,,,25.1687881858,46.7309785972,414.078674948,357.449157871,717.765418457,870.010687441,102.985751782,119.569836708,77.4995957995,142.329046641,145.134051087
,,,Kazakhstan,,,,204.496404009,311.960857122,582.979187098,1270.5371057,2818.38164312,3868.67696547,5103.36151061,6579.22221982,4369.37376318,1512.56959567,2367.00443319
,,,Russian Federation,,,415.091346535,783.378532282,2048.58506175,2495.36885692,2025.54522794,2379.82038744,4698.94097176,7421.93262505,8799.18750135,10219.2570461,13871.9064458,16273.4853283
,,Georgia,,,,,,,,,,,,,..,..,
,Unspecified,,,,,3692.63851801,3132.46542962,5740.33237093,3526.47924158,14796.9794956,4720.13075184,6244.64523879,11217.0967482,9422.96749285,2524.08166319,2739.18655068,2976.56744775
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from Banque de France.",,,,,,,,,,,,,,,,,
