Finland,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,52224.8367396,63933.1999388,76049.5777793,85022.5019069,81860.5051712,96207.617269,116531.307136,114138.732941,130229.689335,137663.413911,133780.686466,151389.552987
,Developed economies,,,,,48840.652513,60982.9145876,72518.9260463,80168.8460009,72876.8758708,85360.1602,101695.350522,105228.060091,118186.716223,121520.836034,118972.979477,138804.820235
,,Europe,,,,41970.0534948,53954.1949029,67165.955598,72449.7520704,63902.6723748,76727.358452,94381.4091523,91281.9452977,104525.617477,108241.694515,107058.498532,123436.931803
,,,European Union,,,37078.8497299,45544.8727823,57469.6943036,62377.0840008,62334.956994,75485.2686879,93013.2400611,90057.514294,102026.910416,107168.832869,105174.553637,121336.855278
,,,,Austria,,245.882135209,334.042254201,706.168236575,427.563473902,463.079512973,924.297478865,656.144100856,666.234312069,988.07903134,1028.63342825,991.528833924,995.1709943
,,,,Belgium,,-1703.54898695,1046.62308272,1400.70424848,1684.51018851,1501.5695911,12222.4387957,20398.1292562,26325.4266254,28081.595609,29880.0092465,27963.6983297,12924.0289213
,,,,Croatia,,,,,,,,5.75590827055,,,,19.5896524195,6.94796284568
,,,,Cyprus,,48.4713886612,,,,,,,160.323764936,596.739921199,529.121809322,482.30138305,30.676060798
,,,,Czech Republic,,21.1511514158,65.0193694799,44.5333596037,93.0995968181,48.7570088938,54.8794219947,45.3406584995,15.0860209367,-20.8166763907,60.5432187186,125.831816235,124.485433819
,,,,Denmark,,2717.92295693,3098.35123463,394.472609332,521.453089245,815.821667082,737.520429974,882.744346403,824.233939094,933.984484733,1139.15052426,1356.07233938,1321.56428119
,,,,Estonia,,488.239078515,635.931381494,810.340428864,845.033780102,1414.64928103,1708.53192607,1931.73286697,1701.74212924,2044.15440356,1997.00423976,2156.2462396,1847.70160439
,,,,France,,1688.56692136,1689.26614106,1686.4704976,1870.01471069,1988.83295799,1997.23166439,1365.75484836,830.92801296,594.953576651,469.273414565,36.6691380165,202.290479206
,,,,Germany,,5701.11660454,5199.65141228,6049.00942955,6828.25269696,5899.55088814,7721.54916166,8114.38800416,6383.76666212,5933.35782354,6372.40426462,5738.57777053,8225.41956935
