Finland,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,Central America,,,3.52519190263,97.0256784561,159.630496889,103.492426719,244.740601624,247.122024072,154.3643328,92.4505877146,80.1261965987,70.1772201964,160.430713573,154.567764408
,,,,Mexico,,3.52519190263,97.0256784561,159.630496889,103.492426719,244.740601624,247.122024072,154.3643328,89.068758298,80.1261965987,60.1824447381,149.445498973,138.537048765
,,,,Panama,,,,,,,,,3.38182941663,,9.99477545828,10.9852145999,16.0307156428
,,,Caribbean,,,,,,,-31.5463628074,,,,,,,
,,,,Cayman Islands,,,,,,-31.5463628074,,,,,,,
,,Oceania,,,,-0.881297975659,,8.80310596818,9.90247357524,7.19617116506,8.03370468365,9.24478361612,7.47342550094,,4.18230577332,-1.03512033921,1.95271268735
,Transition economies,,,,,403.634472852,358.99081549,472.109183774,765.977443609,1305.58599837,2230.63054046,3562.27455275,3594.83025273,3480.56867705,3887.63406389,4130.01367586,4475.8173363
,,CIS,,,,403.634472852,358.99081549,472.109183774,765.977443609,1305.58599837,2230.63054046,3562.27455275,3594.83025273,3480.56867705,3887.63406389,4130.01367586,4475.8173363
,,,Belarus,,,,,,,,,,16.7141700044,,52.3280344098,59.5478025042,78.1560059109
,,,Kazakhstan,,,,,,,,,10.7466608865,27.8910449424,-13.6221016629,-12.9497619469,22.8477499522,6.8813008367
,,,Russian Federation,,,403.634472852,358.466465736,472.109183774,762.054593004,1293.96595149,2206.64795648,3457.06327966,3432.91869971,3353.7322356,3718.85819044,3853.32603573,4218.4795229
,,,Ukraine,,,,0.52434975387,,3.92285060477,11.6200468813,23.9825839818,94.4646122049,117.306338077,140.458543121,129.397600987,194.29208767,172.30050665
,Unspecified,,,,,489.12037649,-104.093913138,16.6084423933,-47.8505775308,2816.36904797,2735.46985978,5068.69517794,-1241.37155402,70.108045004,51.3764266182,142.549036258,111.778515265
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from the Bank of Finland and Statistics Finland.",,,,,,,,,,,,,,,,,
