Germany,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Malaysia,,1676.2287497,1868.78252279,2234.24597672,2479.02364607,2621.29382439,3197.67786425,3904.00734872,5082.48602038,4447.13356527,5585.31569728,5883.36522798,4475.40637534
,,,,Philippines,,619.552476888,556.85943861,449.62779407,487.632123788,378.683761309,..,..,569.205033498,639.626596365,745.599559589,820.332868823,763.932868904
,,,,Singapore,,4462.89294873,5848.59715467,6330.15310079,7240.92840798,6864.67541139,8842.34315509,11096.684538,13250.3694962,13576.2185679,14973.4563884,15411.6479504,14629.5123496
,,,,Thailand,,1126.29881289,1296.19259157,1443.60833883,1543.26032472,1266.99800513,1805.60805267,2571.75748047,2247.59444768,2535.45677839,2815.37324741,2925.50885869,3092.67468862
,,,,Viet Nam,,62.5721562718,91.2368571734,49.2569774403,61.2945406996,69.6023112686,101.409059121,138.377334381,201.796405519,267.951682261,374.135979722,496.85776282,..
,,,South Asia,,,1775.81542095,2047.06143911,2657.35078293,3229.54124442,2896.16396889,4388.24655835,7320.7498285,8188.75896602,9993.44526799,12138.0401421,13356.9340771,17744.6168861
,,,,Bangladesh,,15.8633635619,18.8765911393,23.9969890094,34.0525226109,34.2113055388,67.1670391584,80.9654616062,96.02725504,60.5052185751,68.1461963065,69.8706228966,..
,,,,India,,1473.5302153,1668.48091682,2171.09600564,2810.01416585,2548.15241255,3785.06020669,6465.46013408,7046.17380098,8658.00865801,10701.62522,11845.6583818,17744.6168461
,,,,"Iran, Islamic Republic of",,32.6080250994,42.9966798174,60.6239722342,103.519668737,135.665521964,277.887162008,317.973449217,567.81333415,723.181422017,740.254759878,803.512163311,..
,,,,Pakistan,,186.83517084,226.519093672,282.911870426,281.954887218,178.13472884,258.132150491,387.162116408,392.459216251,440.823735333,481.031973928,481.330957732,..
,,,,Sri Lanka,,66.97864615,90.1881576657,118.721945625,,,,69.1886671907,86.2853596012,110.926234054,146.981992034,156.561951305,..
,,,West Asia,,,1795.20397642,2229.53516346,4179.2650859,5579.16530457,5815.9219416,7214.53020607,10930.3373168,11197.6129573,12464.0750265,13994.0218415,14639.1893973,11915.5056843
,,,,Bahrain,,6.16908582961,28.314886709,41.678980911,43.5872289419,47.1880076397,47.4120276412,120.712142758,122.46954266,162.787849976,141.637192323,148.798548761,..
,,,,Jordan,,,,,,,,,18.0920915293,18.7278057494,20.0429989137,19.4085063602,..
,,,,Lebanon,,17.6259595132,22.0226896625,16.4189924801,25.8799171843,24.7737040109,25.0230145884,52.9955748695,77.9351635108,123.891638035,82.8443955098,95.7486313768,..
,,,,Oman,,22.0324493915,..,15.1559930586,12.2589081399,12.9767021009,22.3890130528,14.7209930193,29.2256863165,67.7082207864,66.8099963789,67.2828220486,..
,,,,Qatar,,,,,,,,,105.769150479,175.753253956,241.852186892,296.303197099,..
,,,,Saudi Arabia,,105.755757079,148.915330099,116.195946782,153.917402201,181.673829413,244.962142813,404.827308031,585.905425679,733.265625113,795.038956909,922.55100232,..
,,,,Syrian Arab Republic,,26.4389392698,,213.446902241,283.316988122,247.737040109,248.913145116,440.157691277,343.749739056,285.238887568,364.782580229,565.434485293,..
,,,,Turkey,,1392.45080154,1674.77311386,3331.79247404,4610.71156151,4678.69095748,5622.27627779,8489.59667423,7963.30367158,8840.96491418,9842.44866654,9680.96297245,11915.5055943
,,,,United Arab Emirates,,195.648150596,220.226896625,329.642849024,330.990519778,488.395879071,792.834462222,1077.57668901,1709.00679984,1888.62717981,2182.01448173,2532.16312979,..
,,Latin America and the Caribbean,,,,24051.5030537,21530.8495934,24660.0637057,25313.283208,30550.6958462,40160.6214136,51279.1070834,43173.2971863,51098.0976871,57626.2942767,56808.6981162,33894.0787007
,,,South America,,,12116.0845694,9494.92534308,10167.1453434,12532.6904217,14608.2274651,18480.1547739,25353.9662771,27763.0103014,37906.5194373,42521.8902953,41983.1870579,25079.1640779
,,,,Argentina,,2106.30216182,1083.3065915,1437.29334172,1744.85125858,1484.06284027,2281.04532985,2131.5997892,2486.9667356,2531.13497706,2760.58905038,2973.38317438,2418.4610513
,,,,"Bolivia, Plurinational State of",,8.81297975659,16.7791921238,18.9449913232,,,,42.690879756,58.4513726331,70.589421671,78.8357957271,94.4547309528,..
,,,,Brazil,,7486.62630322,5690.243529,6115.44319913,7965.56608914,9989.70121733,12013.681004,18153.9285914,19617.3940151,28395.6753175,32412.2016433,31340.8560704,18255.2248258
,,,,Chile,,756.153663115,886.151084041,791.90063731,811.812139043,883.595443054,1504.01487684,1759.15866581,1873.22732295,2266.06449568,2747.2270511,2916.45155572,2392.07304201
,,,,Colombia,,487.357780539,458.281684883,664.337695733,888.089789692,904.830046492,946.923552056,1215.95402339,1155.11045918,1341.19901175,1423.05292287,1547.50490712,..
,,,,Ecuador,,111.924842909,127.941339944,149.033931742,158.003704914,194.650531514,148.821086763,182.540313439,254.680980758,292.44188978,309.998383198,322.181205579,..
,,,,Paraguay,,11.4568736836,17.8278916316,16.4189924801,,,,16.1930923212,16.7003921809,46.0992141525,54.7841970307,62.1072203525,..
,,,,Peru,,142.770272057,108.016049297,125.036942733,129.399585921,136.845222155,147.504085995,281.170966669,353.491634495,449.467337986,482.368173856,536.968675965,..
,,,,Uruguay,,113.68743886,105.918650282,108.617950253,92.6228615016,79.0399127966,151.455088298,214.926498082,286.690065772,316.932097298,328.705182184,496.85776282,575.258602491
,,,,"Venezuela, Bolivarian Rep.",,890.110955415,1002.5567294,738.854661605,708.292470306,900.111245728,1234.02971944,1341.08246406,1644.98862982,2176.74726826,1902.74869687,1671.71934782,1438.14650623
,,,Central America,,,6369.14047008,6340.4372238,6126.81019392,6025.93440122,6861.13631082,8540.74997926,9022.49662153,9083.62164705,9108.91659644,10878.0036104,11181.8874643,8814.91456285
,,,,Costa Rica,,59.0469643691,68.1654680031,92.1989577729,83.0881551705,80.2196129876,90.873052979,100.102752531,122.46954266,93.6390287472,156.335391527,172.088756393,..
,,,,El Salvador,,69.622540077,68.1654680031,70.7279676066,62.656641604,71.9617116506,88.2390514434,103.046951135,121.077843311,108.04503317,94.870194858,72.4584237446,..
,,,,Guatemala,,86.3672016145,90.1881576657,97.2509554591,110.330173259,109.712117762,110.628064496,123.656341362,134.994836795,126.772838919,159.007791382,116.451038161,..
,,,,Honduras,,5.28778785395,11.5356945851,8.84099595082,8.17260542661,22.4143036289,27.657016124,54.4676741714,77.9351635108,59.0646181328,66.8099963789,50.4621165364,..
,,,,Mexico,,5994.58883043,5995.41508575,5760.54036167,5655.44295521,6427.00664053,7907.27260994,8312.944758,8212.41785495,8287.77434435,9965.37905988,10228.2828518,8814.91450285
,,,,Nicaragua,,5.28778785395,10.4869950774,13.892993637,12.2589081399,21.2346034379,23.7060138206,20.609390227,,,,,..
,,,,Panama,,148.939357886,96.4803547121,83.3579618221,93.984962406,128.587320818,292.374170454,307.668754103,414.726405825,433.620733122,435.60117639,542.144277661,..
,,,Caribbean,,,5566.27801426,5685.00003146,8366.10816832,6754.65838509,9081.33207027,13139.7166605,16902.6441848,6326.66523786,4082.66165338,4226.40037093,3643.62359402,..
,,,,Bahamas,,42.3023028316,48.2401773561,77.0429647143,98.0712651193,99.0948160435,115.896067567,105.991149739,100.202353085,102.282631401,117.585593627,99.6303326489,..
,,,,Barbados,,272.321074478,176.1815173,146.507932899,160.727906723,163.978326548,160.674093673,70.6607664927,260.247778152,299.644891991,648.056964875,107.393735193,..
,,,,British Virgin Islands,,157.752337643,131.087438468,135.140938105,99.4333660238,129.767021009,151.455088298,189.900809949,151.695228976,308.288494645,168.361190875,143.622947065,..
,,,,Cayman Islands,,3903.26873419,4334.27506549,6997.01679537,6035.46910755,8249.64343562,12025.5340109,15763.2393251,5412.31876595,2954.67150708,2928.95024125,2816.82122307,..
,,,,Dominican Republic,,24.6763433184,30.4122857245,27.785987274,16.3452108532,17.6955028649,22.3890130528,29.4419860386,38.9675817554,67.7082207864,46.7669974652,63.4011207765,..
,,,,Netherlands Antilles,,877.772783756,699.482571663,703.490677801,25.8799171843,40.1098064938,194.916113636,178.124015534,243.547385971,231.936671205,260.558985878,349.353114483,
,,,,Trinidad and Tobago,,,,,306.472703498,346.831856152,428.025249539,529.955748695,,,,,
,,Oceania,,,,,7.34089655418,15.1559930586,20.4315135665,16.5158026739,21.072012285,35.3303832463,26.4422876197,,,,
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (concluded)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,Transition economies,,,,,2617.45498771,3146.09852322,4388.92298987,6598.01678108,15524.8545135,23098.8764666,40662.3269179,24852.9669638,26059.0214001,27835.7168913,31735.4956997,25122.7043932
,,South-East Europe,,,,116.331332787,212.886000071,317.012854808,596.600196143,713.718615551,1253.78473096,1759.15866581,1866.26882621,2000.99401431,1818.56810143,1663.95594528,..
,,,Bosnia and Herzegovina,,,49.3526866369,63.9706699722,121.247944468,179.797319385,178.13472884,152.772089066,209.038100874,226.84699379,237.699072974,209.78338863,210.905769114,..
,,,Serbia,,,,,,,,1058.86861732,1482.40399704,1599.06255132,1718.63632762,1533.95751686,1392.23685624,..
,,,Serbia and Montenegro,,,,128.990039452,173.030920752,378.664051433,490.755279453,,,,,,,
,,,The FYR of Macedonia,,,14.9820655862,19.9252906471,22.7339895878,38.1388253242,44.8286072578,42.14402457,67.7165678888,40.3592811038,44.6586137102,74.8271959444,60.8133199285,..
,,,Yugoslavia (former),,,51.9965805639,,,,,,,,,,,
,,CIS,,,,2477.32860958,2933.21252315,4071.91013507,6001.41658494,14811.1358979,21845.0917357,38903.1682521,22986.6981376,24058.0273858,26017.1487899,30071.5397544,25122.7043432
,,,Azerbaijan,,,,,,,,,,129.428039402,149.822445995,241.852186892,331.238508547,..
,,,Belarus,,,28.2015352211,31.4609852322,29.0489866956,35.4146235153,42.4692068758,56.6310330159,55.9397734734,96.02725504,115.248035381,136.292392613,119.038839009,..
,,,Kazakhstan,,,148.939357886,186.668512378,164.189924801,204.315135665,287.846846602,140.919082156,203.149703666,297.823660559,329.897501279,335.386181822,452.865148404,..
,,,"Moldova, Republic of",,,,,32.8379849602,38.1388253242,49.5474080217,64.5330376228,97.1585539274,128.036340053,99.4014305162,112.240793917,122.920540281,..
,,,Russian Federation,,,1946.78722823,2303.99281851,3575.5513624,5294.48621554,8346.37885128,15369.3989604,25426.0991429,19557.5509432,20629.3983332,22029.928206,25444.5518382,25122.7042432
,,,Ukraine,,,281.134054235,410.041507527,270.281876211,429.061784897,6084.89358514,6213.60962253,13120.8210781,2777.83189942,2734.25963942,3161.44902865,3600.92488002,..
,,,Uzbekistan,,,2.64389392698,1.04869950774,,,,,,,,,,..
,,Georgia,,,,,,,,,,,,,,,..
,Unspecified,,,,,,88.0907586502,-150.296931164,-81.7260542661,-172.236227885,-7.90200460687,185.484512043,249.114183365,1201.46076885,1181.20073598,1119.22386677,26099.0596369
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from Deutsche Bundesbank.",,,,,,,,,,,,,,,,,
