Poland,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Antigua and Barbuda,,,,,,,,,,,0.708478121521,0.614502253175,1.45180023229
,,,,Bahamas,,,,,,,,,,,25.5052123748,17.5279452215,63.0081300813
,,,,Barbados,,,,,,,,,,,,0.994908409902,0.871080139373
,,,,British Virgin Islands,,,,,,,,,,,17.9481124119,9.01269971323,-1.96799587043
,,,,Cayman Islands,,,,,,,,,,,11.7404945852,6.08649850764,7.5493612079
,,,,Netherlands Antilles,,,,,,,,,,,14.4394588577,,
,,,,US Virgin Islands,,,,,,,,,,,1.99048615094,,
,,Oceania,,,,,,,,,,,,,7.96194460376,6.43764265231,5.45231642793
,,,Marshall Islands,,,,,,,,,,,,4.35207988934,4.41856382045,4.51671183379
,Transition economies,,,,,42.9376907845,55.6449346551,196.095839035,283.727027318,522.293147414,823.783980266,1518.32322001,1433.6,1588.4,2712.62777909,2729.00450635,2914.1179507
,,South-East Europe,,,,3.97571210967,,,2.04610837008,2.48541946424,5.53140322481,2.94419860386,,,88.8971357242,153.742611342,137.824235385
,,,Bosnia and Herzegovina,,,,,,,,,,,,19.9048615094,21.0393866682,16.2601626016
,,,Montenegro,,,,,,,,,,,,1.45069329645,54.6321765085,23.3901148535
,,,Serbia,,,,,,,,,,,,66.1583617287,77.0468777433,88.4952897148
,,,The FYR of Macedonia,,,,,,,,,,,,0.978374548767,0.673026277287,9.03342366757
,,CIS,,,,38.9619786748,55.6449346551,196.095839035,281.680918948,519.80772795,818.252577041,1515.37902141,1433.6,1588.3,2623.73064337,2575.26189501,2776.29371532
,,,Azerbaijan,,,,,,,,,,,,0.809689281738,1.9898168198,2.16156923474
,,,Belarus,,,3.35726800373,0.726706236167,8.07082552943,13.5043152426,25.4459611815,41.4855241861,71.1023962832,79.5,59.5,99.1869370129,93.2287704103,116.111756356
,,,Kazakhstan,,,,,,,,,,,,185.115212037,216.655937262,132.178345593
,,,"Moldova, Republic of",,,,,,,,,,,,2.05796025775,18.2594955229,17.9055361982
,,,Russian Federation,,,6.36113937548,8.30521412763,54.3519656748,94.1209850239,197.294964138,281.311364005,578.535025659,696.9,781.6,1023.71714854,1188.00842746,1413.85985288
,,,Tajikistan,,,,,,,,,,,,1.92301204413,1.7264587113,1.8389469609
,,,Ukraine,,,29.2435712956,46.6130142913,133.673047831,174.055618682,297.066802631,495.455688851,865.741599465,657.2,747.2,1310.14473196,1054.51512846,1090.88269454
,,,Uzbekistan,,,,,,,,,,,,,0.526716217007,0.677506775068
,Unspecified,,,,,63.9647903868,62.7043666636,114.883157146,110.899073659,97.2864190289,110.496364419,181.657053858,847.2,1027.4,2.19290847137,,1.16144018583
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from the National Bank of Poland.",,,,,,,,,,,,,,,,,
