Italy,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Philippines,,,,,,,,26.0119946651,20.5136483955,22.4445548905,13.1482072874,12.4732000875,21.7569136584
,,,,Singapore,,,,,,,,241.335959558,849.479365274,468.814601926,636.659179493,1518.96146376,1267.46886215
,,,,Thailand,,,,,,,,251.993958504,346.769726642,241.703942203,297.157501894,342.301357172,597.991872493
,,,,Viet Nam,,,,,,,,87.4721405207,162.689653829,119.108844566,130.373026934,162.397442218,
,,,South Asia,,,,,,,,,1757.74545048,2614.97524167,3489.48001527,3139.06767986,4704.22083257,4945.66708887
,,,,Bangladesh,,,,,,,,20.1235974574,30.4225477562,8.78766269781,7.10858361471,10.0018502776,
,,,,India,,,,,,,,1078.50411157,1519.80527343,2079.03134026,2509.45027399,3419.67530863,4945.66708887
,,,,"Iran, Islamic Republic of",,,,,,,,704.325911009,951.490927512,1213.14403844,437.45849429,1063.56027053,
,,,,Maldives,,,,,,,,1.97261306459,15.0303529628,39.1123020075,32.4028482438,29.5009296675,
,,,,Nepal,,,,,,,,-21.8312326476,-1.99013006822,20.7878643819,18.8805049767,17.3253266775,
,,,,Pakistan,,,,,,,,-76.0192079517,50.8666111843,57.7680777348,55.2251430068,49.9316173626,
,,,,Sri Lanka,,,,,,,,48.8442548381,47.6239517025,69.9987754896,77.3659758068,111.728301613,
,,,West Asia,,,,,,,,,4543.4431225,5630.37021986,8928.95678919,12330.5464657,19087.0109218,28721.3162339
,,,,Bahrain,,,,,,,,6.28586401924,95.1365674571,123.589111942,139.525996438,165.192267134,
,,,,Iraq,,,,,,,,26.5566714068,25.1062562453,57.5807996773,47.7958714095,47.8872546927,
,,,,Jordan,,,,,,,,9.80418135086,255.237660498,250.102642782,560.856557602,666.772766501,
,,,,Kuwait,,,,,,,,27.2338370857,146.643360342,284.043189201,781.877387622,1367.7045042,
,,,,Lebanon,,,,,,,,43.456371393,62.904810548,65.6337561496,58.9932268026,58.4584211568,
,,,,Oman,,,,,,,,2.25231193195,2.74164771636,12.2162917504,29.3162264111,148.190415562,
,,,,Qatar,,,,,,,,413.659903842,632.221179994,705.980652736,999.170219845,1437.45867606,
,,,,Saudi Arabia,,,,,,,,451.110110084,667.987853248,1142.0215946,2482.64610344,5154.74402121,
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (concluded)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Syrian Arab Republic,,,,,,,,7.09551863531,49.2661569336,79.6940164661,196.354579358,361.231120375,
,,,,Turkey,,,,,,,,2641.81468625,1905.57041581,3916.56042238,3876.87719387,5031.08595769,6435.62645134
,,,,United Arab Emirates,,,,,,,,850.829233537,1695.18722531,2252.53725753,3078.48437515,4426.23926548,
,,,,Yemen,,,,,,,,11.8062364015,6.31831504176,15.5008607588,9.75425947132,3.67467720419,
,,Latin America and the Caribbean,,,,6184.0678952,4139.21695705,5651.92241142,6231.61163779,7140.72525608,7950.73363528,10874.5594743,13741.959457,15828.8422615,15616.1952776,15614.0527937,19411.0592147
,,,South America,,,6184.0678952,4139.21695705,5651.92241142,6231.61163779,7140.72525608,7950.73363528,8644.8737086,10171.4712767,12225.2666912,11163.5228109,11531.796956,15082.304201
,,,,Argentina,,2130.97850514,1641.21472961,2147.09901663,2213.41396971,2209.57845773,2307.38534521,1650.07610753,1345.95419082,1735.1888267,1551.04751393,1821.15190779,1952.79185138
,,,,"Bolivia, Plurinational State of",,,,,,,,6.96302969813,6.51315295054,6.5547320123,8.1641815575,11.2181166762,
,,,,Brazil,,4053.08939005,2498.00222744,3504.82339479,4018.19766808,4931.14679835,5643.34829007,5362.65166303,6382.97339349,7776.8653975,7210.3352392,7428.82577243,8729.72081486
,,,,Chile,,,,,,,,153.201374352,229.32421863,791.970093135,545.877756413,881.780199959,1432.98765041
,,,,Colombia,,,,,,,,49.2270006566,339.421554083,352.327650165,343.777517367,324.911335473,
,,,,Ecuador,,,,,,,,48.9767437752,57.157092239,34.4447565745,34.3002521409,60.4380888056,
,,,,Guyana,,,,,,,,2.10510200176,,-19.5489480015,-14.9654391889,-16.1349382874,
,,,,Paraguay,,,,,,,,12.7042169757,11.0222588394,13.599268175,15.6201771534,13.7800395157,
,,,,Peru,,,,,,,,70.896302381,100.717281844,119.454588673,157.030215489,171.571196224,
,,,,Uruguay,,,,,,,,438.052589275,512.688122959,373.014672516,275.978733042,-536.088823676,338.017204982
,,,,"Venezuela, Bolivarian Rep.",,,,,,,,849.931252963,1185.56084092,1041.30921768,1036.26312983,1370.26642704,1920.47973401
,,,Central America,,,,,,,,,978.784104861,1501.504427,1547.19046899,2489.36718908,2577.39788861,1581.77644079
,,,,Belize,,,,,,,,2.41424285517,2.28238693139,2.44902075185,2.27153987688,2.19963072082,
,,,,Costa Rica,,,,,,,,74.0760368731,87.8301458779,87.7037549251,100.054650577,141.061024226,
,,,,El Salvador,,,,,,,,2.07566001572,1.93446209428,2.00243461475,386.669535043,248.040711283,
,,,,Guatemala,,,,,,,,9.58336645557,9.40788759523,12.47559983,146.67466605,245.388215414,
,,,,Honduras,,,,,,,,12.174261227,14.7798470801,9.9257370472,21.3123888449,11.5157137737,
,,,,Mexico,,,,,,,,746.133531183,1205.23946971,1170.83360345,1615.53252244,1667.41065941,1581.77644079
,,,,Nicaragua,,,,,,,,2.0609390227,5.81730327634,8.54276062263,24.9602146472,27.210725917,
,,,,Panama,,,,,,,,130.266067228,174.212924434,253.25755775,191.891671599,199.829981484,
,,,Caribbean,,,,,,,,,1250.90166082,2068.9837533,2056.38510131,1963.30527759,1504.85794914,2746.97857294
,,,,Anguilla,,,,,,,,,90.5857105878,103.42070575,90.5943550898,83.9870765226,
,,,,Antigua and Barbuda,,,,,,,,15.9428354399,19.9430516627,46.3441162276,41.9299537274,40.4214492461,
,,,,Aruba,,,,,,,,4.59294982202,4.56477386277,4.72516945063,4.38273576246,4.23105438652,
,,,,Bahamas,,,,,,,,144.928176275,127.256988418,209.391274283,46.5264814783,45.0536127641,
,,,,Barbados,,,,,,,,6.12393309603,6.05389216557,3.817591172,3.54092980808,3.44177512787,
,,,,British Virgin Islands,,,,,,,,211.319854792,242.809785316,247.682434039,243.028042828,224.439967549,
,,,,Cayman Islands,,,,,,,,90.740200971,259.106584686,280.542530127,335.97410979,6.44362411158,
,,,,Dominican Republic,,,,,,,,170.336610226,232.817383995,346.766932457,300.057055737,346.907642682,
,,,,Haiti,,,,,,,,0.956864546255,17.7998346661,49.254129121,45.1902815507,10.1700573327,
,,,,Jamaica,,,,,,,,1.85484512043,2.01796405519,2.08887064128,1.93748989499,1.87615561482,
,,,,Netherlands Antilles,,,,,,,,-49.8011193843,31.2018993913,-80.0685725811,38.9903138867,-32.1016695197,
,,,,Saint Kitts and Nevis,,,,,,,,3.63608527577,3.53491634495,3.65912512335,3.39394781605,3.28650707699,
,,,,Trinidad and Tobago,,,,,,,,138.406776368,652.706994403,725.428758707,725.022080704,756.918809042,
,,,,Turks and Caicos Islands,,,,,,,,477.563734539,363.191778954,95.1372532071,65.4737964513,7.23290337022,
,,,,US Virgin Islands,,,,,,,,,-7.72393138366,-9.11900079953,-7.79004557778,0.711645233206,
,,Oceania,,,,,,,,,,54.7915360179,12.678381064,1581.04457938,11.8520933576,11.1146046423,29.303884315
,,,Cook Islands,,,,,,,,,1.07463249041,0.988106537369,1.02282631401,0.94870194858,0.931608305288,
,,,French Polynesia,,,,,,,,,45.3406584995,,,0.962063947856,,
,,,Guam,,,,,,,,,0.721328657946,1.33603137447,,,,
,,,Papua New Guinea,,,,,,,,,0.500513762656,0.542762745878,2.04565262802,3.27368982257,3.17005603883,
,,,Samoa,,,,,,,,,1.6045882391,1.55870327022,1.61347249534,1.49654391889,1.44916847489,
,Transition economies,,,,,,,,,,,3754.08875581,7779.80811249,8800.58488378,11840.3882463,12057.5086982,12755.5150939
,,South-East Europe,,,,,,,,,,1155.34769513,1927.89327336,2281.99753657,5335.29932883,3082.14844402,
,,,Albania,,,,,,,,,391.548972327,474.26330395,541.708984305,3409.27402922,1057.85416966,
,,,Bosnia and Herzegovina,,,,,,,,,83.7330082938,206.416847356,239.096455403,203.436438974,373.600808429,
,,,Montenegro,,,,,,,,,1.04519050437,1.08552549176,1.42619443784,617.431262535,214.075825153,
,,,Serbia,,,,,,,,,628.895542778,1185.76959582,1340.79564362,994.84093208,1307.79691457,
,,,The FYR of Macedonia,,,,,,,,,50.1249812307,60.3580007404,158.970258804,110.316666021,128.820726215,
,,CIS,,,,,,,,,,2598.74106068,5851.91483913,6518.58734721,6505.08891742,8975.36025423,12755.5150939
,,,Armenia,,,,,,,,,43.1177885535,42.7669209765,1.10926234054,44.2683036007,85.3068549551,
,,,Azerbaijan,,,,,,,,,,0.570596732847,1.35416441573,0.534479971031,106.293919833,
,,,Belarus,,,,,,,,,34.5207286303,66.8850706844,70.2292715604,44.041149613,78.462121712,
,,,Kazakhstan,,,,,,,,,555.378903639,623.342138151,457.923662583,476.809582157,534.031522002,
,,,"Moldova, Republic of",,,,,,,,,20.9626940595,115.900721735,122.004451455,124.159697271,115.467673839,
,,,Russian Federation,,,,,,,,,1745.92449308,3746.87215571,4937.74445189,5323.47395947,7391.31559913,10536.5473929
,,,Tajikistan,,,,,,,,,,20.9172412065,21.6522246472,20.0830849115,19.4473233729,
,,,Ukraine,,,,,,,,,190.15106683,1178.3379213,863.856055204,446.397671805,613.593459075,
,,Georgia,,,,,,,,,,8.0082202025,42.5581660743,20.859894404,23.9313407029,26.5896537134,
,Unspecified,,,,,19340.9653738,18811.5717698,21469.7271669,24124.1691184,26434.7218798,40298.9064943,7663.73424486,4883.61218349,8810.17928273,13783.7306969,12848.5606005,12316.7616635
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from Banca d'Italia.",,,,,,,,,,,,,,,,,
