Greece,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,"Hong Kong, China",,39.7377257224,65.7219981501,96.0384760144,135.746976136,117.60431204,131.25229652,361.738961463,460.262808505,573.935216198,657.837948345,820.38462484,1028.72334811
,,,,Taiwan Province of China,,,,,,,,,,0.605052185751,,,
,,,South-East Asia,,,,,,,,,,,9.09018879069,,,
,,,,Indonesia,,,,,,,,,,11.7408936045,,,
,,,,Singapore,,,,,,,,,,-2.30496070762,,,
,,,,Thailand,,,,,,,,,,-0.576240176906,,,
,,,South Asia,,,,,,,,,,,20.3268722403,,,
,,,,India,,,,,,,,,,20.3268722403,,,
,,,West Asia,,,14.1624584688,16.2338683798,53.3869855488,100.019069413,65.9570376784,2961.48694655,5602.39775534,4689.38662243,5959.18778947,6065.86663923,6309.31724756,4924.10808529
,,,,Oman,,,,,,,,,,12.7349079096,,,
,,,,Turkey,,14.1624584688,16.2338683798,53.3869855488,100.019069413,65.9570376784,2961.48694655,5602.39775534,4689.38662243,5862.06250765,6065.86663923,6309.31724756,4924.10808529
,,,,United Arab Emirates,,,,,,,,,,84.361561899,,,
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (concluded)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,Latin America and the Caribbean,,,,,,,,,,,,2082.28709726,,,
,,,Central America,,,,,,,,,,,24.9079816468,,,
,,,,Panama,,,,,,,,,,24.9079816468,,,
,,,Caribbean,,,,,,,,,,,2057.37911562,,,
,,,,Bahamas,,,,,,,,,,38.1615057156,,,
,,,,British Virgin Islands,,,,,,,,,,444.165928359,,,
,,,,Cayman Islands,,,,,,,,,,1575.05168154,,,
,,Oceania,,,,,,,,,,,,8.18261051206,,,
,,,Guam,,,,,,,,,,,0.994014305162,,,
,Transition economies,,,,,432.206153222,649.207917262,1065.57998196,1291.36700447,1467.91274466,2801.86645349,3768.22090911,3760.1350505,4422.02389956,3981.99604218,3449.29268933,3173.42199704
,,South-East Europe,,,,416.237033904,628.559023954,1035.8110856,1258.21346845,1435.01090633,2755.21828629,3695.16062075,3729.28107595,3836.39100777,3905.71238831,3360.58287626,3113.09900781
,,,Albania,,,95.365253946,149.492114828,263.070149514,238.367658276,335.63650134,513.077159124,649.755189886,677.841084635,504.354214837,550.501008163,520.523201575,686.497255647
,,,Bosnia and Herzegovina,,,,,,,,,,,8.80206870224,,,
,,,Montenegro,,,,,,,,,,,73.0528484272,,,
,,,Serbia,,,179.282447188,266.946459695,427.81579406,513.798082162,777.646568901,1758.8281854,2422.57493721,2451.75674209,2722.53315182,2841.295526,2358.52169289,1973.83628879
,,,The FYR of Macedonia,,,141.589332769,212.120449431,344.925142024,506.047728016,321.727836088,483.312941771,622.830493654,599.683249228,527.648723988,513.915854146,481.5379818,452.765463373
,,CIS,,,,15.9691193189,20.6488933074,29.7688963658,33.1535360139,32.9018383268,46.6481671959,73.0602883548,30.8539745542,585.632891789,76.2836538654,88.7098130702,60.3229892337
,,,"Moldova, Republic of",,,,,,,,,,,130.6192421,,,
,,,Russian Federation,,,15.9691193189,20.6488933074,29.7688963658,33.1535360139,32.9018383268,46.6481671959,73.0602883548,30.8539745542,58.3155059029,76.2836538654,88.7098130702,60.3229892337
,,,Ukraine,,,,,,,,,,,393.74491288,,,
,,Georgia,,,,,,,,,,,,2.95323090664,,,
,Unspecified,,,,,522.345310173,830.517575155,1038.93069417,1072.61359922,866.206662239,1258.11766348,1790.36717101,3689.03313079,0.619458190174,4771.43632139,5499.5555452,5791.05974245
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from the Bank of Greece.",,,,,,,,,,,,,,,,,
