Portugal,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Peru,,25.2773885378,9.17612069273,8.47977811626,,,,,,,28.4343344589,,
,,,,Uruguay,,3.1788417982,3.66520477955,4.07443613391,,,,,,,2.31162587471,,
,,,,"Venezuela, Bolivarian Rep.",,3.93852065322,1.30982568517,3.08550758684,4.35872289419,3.79391581423,9.53245155742,12.6526935001,12.3861242008,135.691596257,-24.4524586747,36.5889161902,170.068081064
,,,Central America,,,159.174752576,74.7785670989,91.0761512871,3.1941266209,2.75695934635,3.1015368082,0.684526175398,,76.1515799785,111.385625963,1.82310569743,29.7960206882
,,,,Costa Rica,,,,,,,,,,,3.46075781243,,
,,,,Guatemala,,77.7269562612,71.7551664181,85.748819727,,,,,,,,,
,,,,Honduras,,,1.08855008903,1.21879444179,,,,,,,0.935339949305,,
,,,,Mexico,,77.2184473292,1.07701439445,2.83669670079,3.1941266209,2.75695934635,3.1015368082,0.684526175398,,76.1515799785,102.03222647,1.82310569743,29.7960206882
,,,,Panama,,3.59569574069,0.649144995291,1.02050353261,,,,,,,4.60988975014,,
,,,Caribbean,,,1528.92684346,1819.03851034,7109.21787498,8276.42884385,8539.66564937,11585.4318643,14905.8739706,15748.5533285,13989.8696977,8701.93521836,4698.68423266,4520.23960312
,,,,Bahamas,,753.584679516,367.943563187,442.447642359,,,,,,,68.6005042819,,
,,,,Barbados,,,,22.7807205664,,,,,,,3644.57883646,,
,,,,British Virgin Islands,,83.598163375,169.694262146,195.638610398,,,,,,,833.441342827,,
,,,,Cayman Islands,,674.133904414,1169.69740824,1394.93360412,,,,,,,4146.58914925,,
,,,,Dominican Republic,,,,,,,,,,,1.93748989499,,
,,,,Netherlands Antilles,,16.4855599327,12.5885888909,13.66817974,,,,,,,4.60988975014,,
,,,,Saint Kitts and Nevis,,,,,,,,,,,1.6568879102,,
,Transition economies,,,,,,2.11732430613,2.60051580896,4.08630271331,8.25790133695,10.5360061425,42.690879756,5.56679739363,59.0646181328,106.027464253,41.3530575514,38.3655267047
,,South-East Europe,,,,,,,,,,,,,0.761633958719,,
,,,Bosnia and Herzegovina,,,,,,,,,,,,0.654737964513,,
,,CIS,,,,,2.10998340957,2.59167481301,4.08630271331,8.25790133695,10.5360061425,42.690879756,5.56679739363,59.0646181328,105.265830295,41.3530575514,38.3655267047
,,,Kazakhstan,,,,,,,,,,,,40.5670298013,,
,,,Russian Federation,,,,2.09739901548,2.52599884309,2.72420180887,3.53910057298,2.63400153562,4.41629790579,4.17509804522,4.32180132679,4.60988975014,15.3184871199,25.7137956513
,,,Ukraine,,,,,,1.36210090444,4.71880076397,7.90200460687,38.2745818502,1.39169934841,54.742816806,59.9152047526,26.0345704315,12.6517310534
,Unspecified,,,,,0.737646405626,-118.116074256,-4831.59165713,-28.2050234281,-47.7943735379,-43.2305502034,-304.861460735,425.628978521,-78.9362606334,16.2214671208,620.825068544,973.487967068
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from Banco de Portugal.",,,,,,,,,,,,,,,,,
