Switzerland,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,South America,,,6958.32588088,5823.76694549,6892.87735468,7879.55107812,9743.51365746,23040.809637,18101.0217681,17882.1096174,23083.0664726,34582.5883355,40955.57445,44778.965743
,,,,Argentina,,1014.01061229,471.372944909,1109.54806371,1134.49982326,1224.9105988,823.731869212,1084.14038205,1280.34220175,1586.51140223,2369.51894423,7657.34934637,7248.19986908
,,,,"Bolivia, Plurinational State of",,27.4846479461,42.2555523507,47.5382003396,45.3340402969,40.9343376702,38.7609604196,38.9160373167,90.4390335621,123.047064532,97.8075776926,167.286640451,65.4593061314
,,,,Brazil,,3359.86406725,2680.48745313,3119.16888997,3789.05973842,5174.92201172,17996.1484881,12659.8844958,11672.746075,15009.995148,24927.948063,24659.9000957,24818.7868209
,,,,Chile,,495.617957432,314.537063744,468.267442801,711.293743372,892.033782241,954.765221667,859.706796979,1081.03788662,1450.94614265,1509.36568753,1876.28865979,3779.29303949
,,,,Colombia,,685.983425744,897.822324776,647.505861428,715.358784023,906.642319105,848.397934934,1360.46201688,1245.83999248,1527.21979622,1865.048957,1503.77298331,1831.87868209
,,,,Ecuador,,261.670541942,326.867608884,327.350634651,313.626723224,331.811610743,297.631729902,380.630830742,363.636363636,361.960213489,512.664963814,543.628440855,678.267510364
,,,,Peru,,173.612353187,188.996250361,181.421295173,292.417815483,385.756676558,380.644103909,43.5362061306,415.342671806,726.152353227,557.79054917,977.362100117,1056.51320096
,,,,Uruguay,,246.70601562,422.69974041,305.845258307,90.3145987982,93.4337670243,971.482422355,652.243447357,399.924790824,396.312469675,613.878246062,1003.82612392,2226.27100153
,,,,"Venezuela, Bolivarian Rep.",,693.376259465,478.728006922,686.231708303,787.645811241,693.068553603,729.246906498,1021.50155486,1332.80060167,1900.92188258,2128.56534696,2566.16005952,3074.29631246
,,,Central America,,,3142.84862577,3279.63657341,3548.87218045,2898.10887239,3174.54158107,4425.55109399,6615.28209685,6255.99323117,7451.81950509,8791.61345253,8167.39292167,10416.5393847
,,,,Costa Rica,,94.0797710606,156.691664263,324.682674428,-61.5058324496,478.429582287,659.264115381,1017.05908485,1078.40556548,1126.34643377,494.252873563,556.488468488,604.73488981
,,,,Guatemala,,47.934179932,96.1205653303,123.130406662,126.899964652,137.944152781,124.805375727,139.760106619,153.238695121,142.940320233,490.102171137,470.61324264,388.064586515
,,,,Mexico,,3000.83467477,3026.82434381,3101.05909936,2832.71474019,2558.167846,3641.48160288,5458.46290538,5024.34897057,6182.53275109,7807.25840783,7140.29121054,9423.73990836
,,,Caribbean,,,27176.9510523,34999.9278915,44549.6806532,61141.3043478,51630.2974968,91607.9652544,88223.6339405,85477.672276,111519.747695,136198.595147,117929.322989,141228.889374
,,Oceania,,,,23.1920348179,28.3386212864,162.179642655,180.894308943,181.617591113,205.769073179,229.231452688,114.505969728,51.8195050946,62.6862494679,85.1312573068,46.5852061968
,Transition economies,,,,,985.273952185,1054.22555524,1495.02789231,2521.47401909,3532.3746481,4594.198148,5787.02798756,5735.73375952,7172.53760311,10633.1417625,13552.5560633,16011.2371809
,,South-East Europe,,,,,,,211.558854719,329.757285247,,,,,,,
,,CIS,,,,985.273952185,1054.22555524,1495.02789231,2309.91516437,3202.61736285,4594.198148,5787.02798756,5735.73375952,7172.53760311,10633.1417625,13552.5560633,16011.2371809
,,,Russian Federation,,,905.204793418,933.371791174,1299.29662867,1939.11276069,2734.38332192,3737.52355978,4728.20968458,5050.86020495,6074.13876759,9265.0063857,11705.4947391,13690.2683832
,,,Ukraine,,,80.0691587671,120.853764061,195.731263643,370.802403676,468.234040934,856.674588216,1058.81830298,684.873554574,1098.39883552,1368.13537676,1847.06132426,2320.96879773
,Unspecified,,,,,-75.7169319741,,8.89320074379,,154.683101271,2024.01048922,1573.87827632,1629.12475322,1307.0354197,1415.28309919,1808.26867892,1550.07636919
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from the Swiss National Bank.",,,,,,,,,,,,,,,,,
