Hungary,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,1504.99358086,2158.99302945,3496.22561722,5996.24196151,7788.49263452,12345.1685976,17216.5595235,17592.3221489,19735.6780614,20433.4720824,23861.0538641,34081.2797085
,Developed economies,,,,,1037.73382956,1509.13756178,2614.98071575,4721.90660737,5816.85949969,9481.0285824,12712.278072,12717.7457613,13922.6014888,13034.0284879,13371.9229973,20566.3813787
,,Europe,,,,981.888700699,1438.52052589,2546.81970772,4702.03250605,5820.42195375,9291.5499338,12503.1062453,11672.6227769,12769.9626043,11668.746451,12389.4758975,19594.9239669
,,,European Union,,,976.646761574,1435.12398916,2542.84589912,4698.05184752,5817.86483449,8791.02029955,11970.3318232,11034.2332712,11126.1785399,10446.5037191,10959.9595313,17311.9105192
,,,,Austria,,,,,,,,,70.0162205311,97.8694315946,114.962209442,136.541166694,104.923079709
,,,,Belgium,,,,,,,,,12.8574211058,1.76168979635,8.35017014139,8.56821921223,4034.86146291
,,,,Bulgaria,,0.67755537039,11.9771949281,172.019323398,297.698340024,362.771089072,567.423156106,847.129870807,1040.21132457,1231.24586058,1242.02936976,1074.44102543,1122.60105463
,,,,Croatia,,20.7039733792,54.1290759016,407.888599678,490.962980931,618.123526688,1276.80823428,1548.33331788,1556.36938428,2448.25063008,3427.96259765,3764.93364218,3800.83565383
,,,,Cyprus,,59.4318906999,102.633367961,81.6888322047,147.219571729,124.61595883,349.44697089,606.028573084,1099.73883242,1058.34275536,1000.70860292,1175.47679076,1300.33702983
,,,,Czech Republic,,86.676679056,100.851440798,102.48826704,118.243236757,114.000541516,183.95218221,213.804820115,303.8548933,305.768543627,326.903201534,326.52342945,361.784479247
,,,,Denmark,,126.366239458,158.054152469,204.894681796,2.49244714626,,,4.90391054979,3.02614549518,3.9586483756,9.13009345794,8.46408093734,
,,,,Estonia,,,,,0.596103000721,0.636617379904,1.03095136207,,1.32509712096,,,,1.16547322681
,,,,Finland,,,,,,,,,1.21720504497,1.61571223481,1.19957344836,,0.890856832481
,,,,France,,2.40971353618,0.721445816308,0.925977616391,1.04747710356,1.58184035958,,11.729030763,26.0899100633,30.1448237358,21.8495470884,18.9494515539,42.3999456842
