Bulgaria,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,33.9334972548,39.8138589001,52.4068979976,-175.772311213,123.514609997,453.311664281,813.187654386,1443.8226641,1399.30274939,1565.14041457,1649.54060065,2003.22989234
,Developed economies,,,,,15.6668341133,14.630856467,20.7119275139,-216.384711779,40.9355966275,302.646776443,468.716417735,1005.88827994,884.07056061,970.532782997,1014.89538168,1253.23121174
,,Europe,,,,15.6236505125,14.587278283,20.0033848384,-218.031491773,36.4527359017,279.599263006,428.233686932,959.880091184,812.426619415,898.200272318,925.834921596,1149.33370277
,,,European Union,,,12.4448087143,12.4104442381,24.30137187,-215.007627765,49.1934979644,279.86266316,408.507556286,924.702106754,747.176062983,844.493052428,870.312360501,1080.80404264
,,,,Austria,,,,,,,0.790200460687,5.00513762656,27.0393266402,39.247718449,46.5211366786,65.3057422007,72.5379987334
,,,,Belgium,,,,,,3.30316053478,17.5161102119,22.8175391799,12.342981521,16.4617412538,12.0391613475,11.4329041466,13.8642600802
,,,,Croatia,,,,,,,,,,-0.671319806095,1.66891370954,3.1467658312,3.78931813384
,,,,Cyprus,,3.06515435934,3.62113956951,6.53854800535,8.55126947804,10.3813616807,24.4962142813,37.6857421294,31.6458514834,41.557000958,45.2717897463,48.0179386355,43.1892548026
,,,,Czech Republic,,0.634534542474,,,,0.825790133695,1.84380107494,3.38582839444,3.59336771759,2.65358601465,29.2333820156,30.4933512927,48.3890120329
,,,,Denmark,,,,,,,,,1.81060085228,2.85815127745,2.80468364799,3.01090628667,2.76414397298
,,,,Estonia,,,,,,-7.78602126056,-12.3798072174,-15.1626228099,-14.3094527003,-14.8122537474,1.93748989499,1.87615561482,1.75348321723
,,,,France,,0.656566991866,0.780257007528,0.949775565003,1.01885147652,,1.58040092137,3.09140853405,4.82919673897,10.3579171799,13.0132510947,32.6515771999,37.6002744353
,,,,Germany,,4.76694075034,5.63818694003,8.3648451689,3.04701972322,4.71880076397,7.90200460687,27.2338370857,39.4644184228,52.087790191,63.0205333843,61.7190502253,99.2888431497
,,,,Greece,,,,,,1.53361024829,6.9801040694,31.0612952707,43.7077097361,47.2156794952,41.2658623634,31.9619282739,40.190257547
,,,,Hungary,,0.707682274454,0.866375799582,0.94724956616,2.25700119865,1.41564022919,0.526800307125,1.47209930193,4.5884327517,5.06659175544,4.47894215724,2.52828142852,2.56359510239
,,,,Ireland,,,,,,,,,1.05351640674,1.77193854399,2.48800426515,2.71201528873,3.02802406586
,,,,Italy,,,,,6.31061349025,8.72978141335,38.3247223433,18.1068214137,522.022250489,229.958726797,242.677958447,236.307622238,245.51271902
,,,,Latvia,,,,,,,0.921900537468,1.17767944154,1.25113771422,5.70477775137,4.97467233037,13.869318645,16.0478678488
,,,,Lithuania,,,,,,,,,,,-0.864521353143,-0.837153574335,-0.853652100486
,,,,Luxembourg,,,,1.97027909761,5.64454614798,4.36489070668,5.00460291768,12.218424206,8.40029726698,8.63784025182,8.06129416308,7.80610125806,129.777549082
,,,,Malta,,,,,,,154.089089834,179.448904905,172.246453254,174.763561452,166.617449969,173.037185404,174.387798185
,,,,Netherlands,,,,,-264.103192765,5.89850095497,8.69220506756,10.0102752531,-66.5107035597,-69.2439008579,-58.2489634429,-57.6536150931,-44.7118429386
,,,,Poland,,,,,,,,1.32488937174,1.19964483833,2.45334255318,2.01498949079,2.65637757049,3.47398142284
,,,,Portugal,,,,,,,-2.7657016124,-2.94419860386,-2.73747261832,-0.672760406537,,,
,,,,Romania,,2.04284870758,1.73482675078,2.98194163427,18.7751988667,7.31414118416,14.3553083691,45.1934485693,67.1481018613,113.408388616,132.127457439,111.892626967,97.7095207938
,,,,Slovakia,,,,,,,0.658500383906,,,,2.20339368058,3.02902089261,
,,,,Slovenia,,,,,,,,1.61930923212,,,3.90170378853,0.73881714211,1.15447540638
,,,,Spain,,,,0.851261610122,0.859485670698,1.17970019099,2.50230145884,5.74118727753,12.2887052464,20.6250765319,21.4927758351,21.2341998584,21.3188727042
,,,,Sweden,,,,,,,,,,,,,0.584494405742
,,,,United Kingdom,,,-0.8819394367,,1.33758308816,6.25241101227,8.16540476043,19.2845008553,53.11838073,56.5363643567,55.1209194124,62.2896603123,67.2762296812
,,,Other developed Europe,,,3.1788417982,2.17683404494,-4.29798703152,-3.02386400785,-12.7407620627,,19.7261306459,35.1779844297,65.2505564319,53.7072198891,55.5225610947,68.5296601224
,,,,Andorra,,,,,,,,,,,,,2.51345788474
,,,,Gibraltar,,,,,,,,,1.14119346569,1.17408936045,0.729565160458,,
,,,,Isle of Man,,,,,,,,,,8.38285397354,7.77534737858,7.52920656732,7.67759130251
,,,,Liechtenstein,,,,,,-7.07820114596,,,,,,,
,,,,Norway,,,,,,,,,0.558071438711,1.43627864094,1.3321913278,1.29001872274,1.31544226304
,,,,Switzerland,,3.1788417982,2.17683404494,-4.33966601243,-3.06881333769,-5.66256091677,,20.0205505063,32.6464833149,53.8525257327,43.3169292522,46.1521342241,56.4426324678
