Belgium,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,Algeria,,..,..,..,..,..,..,..,,34.5744018023,34.741191393,21.9963013302,6.59699593414
,,,,Egypt,,..,..,..,..,..,..,..,,669.879205653,688.142962703,452.865148404,373.390331433
,,,,Libya,,..,..,..,..,..,..,..,,,..,,1.31939407642
,,,,Morocco,,..,..,..,..,..,..,..,,203.124662359,229.826387543,288.539794554,456.512560692
,,,,Sudan,,..,..,..,..,..,..,..,,,..,-5.17560757405,-5.27760824573
,,,,Tunisia,,..,..,..,..,..,..,..,,23.0495982642,32.0687915379,12.9389983621,25.0686024361
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (continued)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,Other Africa,,,..,..,..,..,..,..,..,4065.15379669,7715.85556342,5971.47705299,6787.80135397,6331.80253495
,,,,Angola,,..,..,..,..,..,..,..,,138.297633645,62.8013898722,41.4048076903,6.59699593414
,,,,Botswana,,..,..,..,..,..,..,..,,20.1683973797,52.1117904515,60.8133140505,50.1372112603
,,,,Burkina Faso,,..,..,..,..,..,..,..,,,-1.33620665158,-1.29390630202,-1.31940685244
,,,,Cameroon,,..,..,..,..,..,..,..,,217.53065797,-1527.27652395,183.733854332,109.51023216
,,,,Cape Verde,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Congo,,..,..,..,..,..,..,..,,2800.52725095,3212.22461917,2961.73806468,3132.25669617
,,,,"Congo, Democratic Rep. of",,..,..,..,..,..,..,..,,201.684053105,225.817781037,218.66916578,314.017304146
,,,,Côte d' Ivoire,,..,..,..,..,..,..,..,,40.3368035714,42.7583909585,63.4011148985,68.6088177623
,,,,Equatorial Guinea,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Eritrea,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Ethiopia,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Gabon,,..,..,..,..,..,..,..,,99.4014217042,122.930386613,190.203356452,273.115889749
,,,,Ghana,,..,..,..,..,..,..,..,,51.8616071095,137.628585817,59.5194136265,504.010971024
,,,,Guinea,,..,..,..,..,..,..,..,,70.5894128589,105.559787555,166.913148819,263.880086498
,,,,Kenya,,..,..,..,..,..,..,..,,246.342666815,354.092974084,357.116511149,31.6656047583
,,,,Liberia,,..,..,..,..,..,..,..,,21.608997822,60.128990017,73.7523182906,58.0536140469
,,,,Madagascar,,..,..,..,..,..,..,..,,2.88119207252,1.33619320358,,
,,,,Malawi,,..,..,..,..,..,..,..,,,..,2.58779497001,2.63879454085
,,,,Mali,,..,..,..,..,..,..,..,,,..,1.293894546,1.31939407642
,,,,Mauritania,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Mauritius,,..,..,..,..,..,..,..,,321.253889813,308.662176547,285.951987828,220.339871172
,,,,Mozambique,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Namibia,,..,..,..,..,..,..,..,,,1.33619320358,,
,,,,Niger,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Nigeria,,..,..,..,..,..,..,..,,2313.60431028,1604.77611302,1284.84312104,680.810639645
,,,,Rwanda,,..,..,..,..,..,..,..,,2.88119207252,2.67239313116,3.88169539403,3.95819500528
,,,,Senegal,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Seychelles,,..,..,..,..,..,..,..,,,10.6895926966,19.4085004822,6.59699593414
,,,,Sierra Leone,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,South Africa,,..,..,..,..,..,..,..,,979.60830074,1058.27034264,721.996436598,536.995989023
,,,,Swaziland,,..,..,..,..,..,..,..,,,..,,2.63879454085
,,,,Togo,,..,..,..,..,..,..,..,,,..,,
,,,,Uganda,,..,..,..,..,..,..,..,,148.381836741,102.8873877,54.3438119305,44.8596094026
,,,,United Rep. of Tanzania,,..,..,..,..,..,..,..,,14.4059956106,14.6981924794,2.58779497001,1.31939407642
