Slovenia,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,987.397438948,1515.56273334,2374.78371135,3029.37779231,3289.84171963,4546.55005064,8032.21542112,8841.18762056,8972.49173455,8179.41423668,7821.88684323,7387.71902048
,Developed economies,,,,,737.703689995,1090.41276899,1607.46609478,2003.97188624,1987.23446423,2483.29055276,3755.76694902,3811.58617542,3936.1525884,3468.10691203,3365.30561281,3081.85560481
,,Europe,,,,695.307969578,1059.42573095,1499.41649427,1920.19042171,1932.40671816,2417.18106522,3705.12673303,3774.84531262,3893.51081531,3410.38307516,3307.20948377,3010.47603969
,,,European Union,,,681.192219901,1041.98687025,1476.4122228,1881.60755149,1893.1698898,2370.16413781,3587.21157894,3675.19963927,3807.21884882,3323.26283988,3222.32961596,2944.76989656
,,,,Austria,,50.7900836352,65.5973404925,83.2986008492,110.685681595,89.6855273201,128.57615096,204.032963248,180.920915293,128.50155945,115.982153714,124.214440705,101.198015622
,,,,Belgium,,-9.30562532498,-10.7575821133,-8.72480000404,-8.80462024627,-10.450963992,-10.7348732584,-6.62444685869,-5.70596732847,1.29654039804,3.74135979722,3.23475106003,4.48596157906
,,,,Bulgaria,,1.88862156184,9.34707831704,25.5820532834,6.15942028986,4.64565935213,15.0230277584,57.7062926357,65.5490393099,56.0393572041,35.2756780881,21.8669171658,1.71522060376
,,,,Croatia,,400.993222819,556.374008977,779.854148827,916.823308271,963.698265723,1221.64991222,2152.79801914,2239.38342152,2373.67734872,2157.42840307,2113.97451275,1991.10724087
,,,,Cyprus,,-15.3389912663,-20.4192709426,-33.1448938196,3.57551487414,16.559451581,5.69339431925,68.3054076096,249.810033039,7.92330243245,-36.2110180374,36.0998218299,62.6715220604
,,,,Czech Republic,,11.6102195313,14.3063886908,23.5713582043,33.7828266318,49.0401369396,54.9189320177,62.8586401924,97.6972942581,72.1740821574,63.6031165527,39.9815231019,3.95820139329
,,,,Denmark,,10.7148207881,13.829229414,15.004433128,17.9633867277,21.1543838249,25.0980836322,33.1222342934,25.1897582062,27.6595284915,23.5171187254,33.5120209819,31.1378509605
,,,,Finland,,,,,,,,0.588839720772,0.974189543884,1.44060044226,1.46981992034,1.81146059362,1.45134051087
,,,,France,,8.60587473231,10.171357859,17.2980400775,18.9386509753,21.6168262998,28.7843687813,46.2239180806,38.9675817554,28.3798287126,26.9912385371,17.3382656817,22.8256280346
,,,,Germany,,89.1935242225,114.085112631,133.792054723,141.933638444,95.7338501993,97.5752698864,209.774150525,259.412758543,271.553183367,267.373605508,241.053648993,148.300612202
,,,,Greece,,,,0.511514765726,0.652446333224,,0.493875287929,1.03046951135,0.556679739363,1.72872053072,8.81891952201,16.5619254273,2.90268102174
,,,,Hungary,,5.20230195031,9.32400687948,11.7534726169,17.7182085649,19.9558084308,23.7060138206,46.8127578014,38.2717320812,35.8709510124,32.3360382474,28.8539794554,20.1868271058
,,,,Ireland,,,2.30190024749,1.92733711728,,1.40620262766,1.32621977319,2.0609390227,2.64422876197,1.00842030959,0.935339949305,0.517560169604,
,,,,Italy,,4.70084340216,7.55694450271,16.4392004708,8.72834259562,22.8684882024,28.4472165847,75.3714842588,35.3491634495,26.3629880934,49.4393973204,48.7800459852,38.130673422
,,,,Latvia,,,,,,,,,,,,,0.659700232214
,,,,Lithuania,,,,,,,,,,,,0.517560169604,0.527760185772
,,,,Luxembourg,,,,,,1.30120931067,6.90503502564,6.03560713792,4.03592811038,7.34706225555,7.21547960892,12.4214440705,6.72894236859
,,,,Malta,,0.490882972442,,,,,,,,,,,
,,,,Netherlands,,10.0855740334,108.736733923,186.268417689,344.332298137,366.332300309,473.198375875,312.67389173,142.927523081,437.65441436,246.796126624,200.037005552,242.109985223
,,,,Poland,,78.4619587729,105.71857041,147.733042338,180.640459845,155.434937765,182.814193581,160.16440405,130.263059011,158.754168738,149.654391889,102.347523539,88.5317711632
,,,,Portugal,,,,0.788111639045,0.971177944862,0.554459089767,,1.61930923212,0.835019609044,,0.668099963789,1.03512033921,
,,,,Romania,,11.5414782892,22.8837199547,27.3565674707,34.2977007737,36.1294980494,39.557435062,64.3307394944,65.9665491145,70.7334817152,48.2368173856,35.8410417451,31.1378509605
,,,,Slovakia,,7.79596189268,11.6751961072,19.1432822324,19.4290073009,5.67671731906,9.05964828177,13.1016837872,54.5546144575,60.6492786193,62.5341566106,57.0610086989,60.5604813173
,,,,Spain,,1.27347557483,6.35932715298,10.189879333,8.4164214885,6.35976372965,5.84353240678,11.1879546947,19.9013006822,16.4228450418,22.1809187978,17.5970457666,24.5408486384
,,,,Sweden,,1.39245080154,2.21066319896,2.80891071352,6.18666230794,5.98697846929,5.71051532923,16.045882391,6.81932680719,6.48270199019,21.1119588557,44.510174586,41.693054676
,,,,United Kingdom,,10.0714732658,11.1854524099,14.3135724444,18.4741745669,18.9306489649,25.9449151259,47.8432273127,20.8754902261,15.1263046438,13.7628592541,23.1608175898,18.3396664556
