Croatia,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,888.949452721,1673.53121908,2032.97089223,2127.60849743,2046.66161837,2413.946568,3798.52848954,5194.73909812,6537.65369406,4370.8769881,4523.662204,4422.70820139
,Developed economies,,,,,509.4603057,1210.44003541,1397.22545086,1345.47161851,1311.99995267,1177.90301131,1598.85588442,2569.16745762,3326.94859217,966.96512919,1215.78118591,944.726356344
,,Europe,,,,508.096737491,1203.709837,1385.09742167,1330.84334726,1302.41371558,1166.52929016,1589.88638338,2564.87545683,3319.61737652,961.282270899,1211.1710187,915.551773274
,,,European Union,,,503.865795253,709.031922096,806.736405334,869.145765572,838.883301584,739.611834569,1570.2264972,2536.56968378,3315.78105754,967.737452749,1184.80132806,879.057156428
,,,,Austria,,-1.31594034169,,-11.0019621811,-11.91872729,1.9238733036,-12.9564038079,-37.9551363017,-48.8597807239,-51.4568071972,24.2547010854,16.1789309018,11.1911547393
,,,,Belgium,,,,,,,,,,,-6.99901522065,-6.99353179178,-7.24350854972
,,,,Bulgaria,,,,0.678639721045,0.738966535567,,2.26473725098,,,,,1.66783764655,17.8541270847
,,,,Cyprus,,,4.44618028433,1.58974166698,2.67824335543,1.52395376078,0.894044531055,1.90048019879,1.68673961027,1.29365919715,1.33619992758,1.51774519737,1.54897614524
,,,,Czech Republic,,,9.88178930375,11.0944471523,18.1883752262,17.210738668,12.3178005715,14.3279425057,13.9754448567,15.7025448207,15.7056939488,14.3610008061,16.0373126451
,,,,Denmark,,,,,,,,,-0.720900262474,-0.733265625113,,,
,,,,Finland,,,,,,,,,0.683324380068,2.46198615583,3.54627460779,4.67486223195,5.6417563859
,,,,France,,,,,,,-0.50956588147,-0.659500487265,-0.63739830157,-7.73170257363,,-1.94473233729,4.71025965801
,,,,Germany,,3.26956491061,4.55866270895,6.78514741355,4.54267089452,9.23837807778,6.90086507696,20.6535532061,17.5994299599,17.2238188877,225.971450752,221.348839436,10.9998416719
,,,,Hungary,,1.27977844222,8.25079414675,8.91480134478,22.7051890965,23.0107552327,28.479070931,565.92207884,279.071903539,215.931600291,190.876159655,93.0831965034,79.6073464218
,,,,Ireland,,,,,,,,-0.999555426011,-6.9459714479,-0.983930102067,,,1.24947223981
,,,,Italy,,12.1556902072,17.4191532573,20.1442265632,21.5402621086,20.4219269496,22.6249884788,29.0621844187,27.4596198434,27.846806549,5.31273091205,3.11830002187,1.62154317078
,,,,Luxembourg,,,,,,1.3523906433,,0.615337508207,-4.90991530118,-4.96574972449,0.652065564658,0.612014900557,55.2960734642
,,,,Malta,,0.508030587675,0.594698744988,,,,15.6635548475,23.4505418798,20.0627378066,19.9278259178,85.8588625464,86.7663746333,-15.1572725354
,,,,Netherlands,,46.6426763334,94.5300213508,110.182095409,150.641662471,152.862737674,99.799860429,317.779132109,1617.80039135,2410.99178137,-278.895657484,-56.5279217242,-76.8959784674
,,,,Poland,,141.616172307,166.080299953,193.78351018,167.594344116,157.95875386,20.2285804574,32.3066912802,35.3769974365,35.319201043,102.304811255,81.1133236808,72.9654844839
,,,,Romania,,,,1.89344231562,2.1284413658,3.43717831915,5.23917995444,6.35358058713,6.06780915905,7.0863135755,10.4571006332,13.2288379351,16.1177960735
,,,,Slovakia,,,3.11409675572,3.78938422506,3.20627100883,0.759610492564,1.07838360962,1.41174323055,1.04794960935,2.29631710497,1.59542271353,0.806099964159,1.18614101752
,,,,Slovenia,,286.574233324,379.846898922,437.232699686,476.817136403,429.42839902,479.710850988,524.227810311,513.207226816,526.550986451,527.614575803,685.35188269,663.085813806
,,,,Sweden,,,,,,,,,,,0.698832562123,,0.745461262402
,,,,United Kingdom,,12.3197417511,19.9052231422,21.6164873208,10.7088907337,20.0314729581,57.0845458017,71.4954467969,64.5400572823,98.8640865513,57.0624179072,26.4007442515,18.4267468862
,,,Other developed Europe,,,4.23094223798,494.677914909,578.361016335,461.697581688,463.530414,426.917455594,19.6598861773,28.3057730472,3.83631897775,-6.45518185013,26.3696906413,36.4946168461
,,,,Liechtenstein,,,,,,,,,,-0.894612874646,-8.66258413049,-8.41941005904,-8.61040743086
,,,,Norway,,,,,,,,,3.9329423586,1.94769179794,2.68175325465,2.1931612187,3.86848216171
,,,,Switzerland,,4.05277873328,494.469614123,578.126054516,461.697581688,463.348202137,426.866103994,19.6171952975,24.3895310808,2.80052725976,-0.871202352781,32.5959394817,41.2365421153
,,North America,,,,1.35386623625,6.67083268239,12.0592903653,14.553421973,9.51879503532,10.7074670494,8.13482074247,3.18003301111,5.36911784832,3.11601823111,1.21109079687,23.0815917247
,,,United States,,,1.35386623625,6.67083268239,12.0592903653,14.553421973,9.51879503532,10.7074670494,8.13482074247,3.18003301111,5.36911784832,3.11601823111,1.21109079687,23.0815917247
,,Other developed countries,,,,,,,,,0.666254098253,0.834680304195,1.11196777938,1.96209780236,2.56684006088,3.39907641388,6.09299134473
,,,Australia,,,,,,,,0.666254098253,0.834680304195,1.11196777938,1.96209780236,2.56684006088,2.73012989466,2.88420941524
