Netherlands,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Malaysia,,1104.2663635,884.053685025,1131.64748171,957.556935818,863.540539807,1397.33781465,1641.39072165,2068.3435716,2596.97041727,2627.90439757,2548.07810501,1622.7306312
,,,,Philippines,,1245.27403961,1005.70282792,885.362594504,826.795248992,477.778577352,1098.37864035,1160.01424992,1213.56183181,780.517319619,1030.87824413,1109.51961359,1542.51108296
,,,,Singapore,,2079.86322255,4540.86886852,6518.3400146,7777.59616432,7107.69365074,8305.00684182,11223.2850779,13437.9705683,17381.9968163,20764.0123946,21052.1480688,26158.5655478
,,,,Thailand,,749.10327931,569.443832703,961.142559797,988.88525662,999.206061771,1202.42170101,1399.96643614,1331.71710649,2680.52524292,2052.93756873,2073.73420956,1946.51150517
,,,,Viet Nam,,121.619120641,164.645822715,176.819919016,156.64160401,163.978326548,280.521163544,406.299407333,365.321078957,623.635931456,1067.89098212,445.878086114,431.048131729
,,,South Asia,,,764.085344896,1009.89762595,1048.28951988,1680.83251607,1786.06608916,2287.63033369,4039.4404845,3853.19798593,3959.63437561,4325.41278556,4283.71613377,3932.07726409
,,,,Bangladesh,,,,,,61.3444099317,,,78.9093530546,90.9018879069,87.6547152491,87.9852288328,95.7884737175
,,,,India,,609.858199156,786.524630805,860.102606073,1453.36166503,1479.34403951,2116.42023387,3190.03918728,2698.78337643,2939.4011424,3462.09401235,3449.53853041,3040.03061009
,,,,"Iran, Islamic Republic of",,,,,,,,,453.554817646,378.01355605,335.252561829,336.672890328,355.71036521
,,,,Pakistan,,154.22714574,223.372995149,188.18691381,227.470851041,211.166334188,123.798072174,734.577551663,493.496588945,394.004220959,324.429342416,295.526856844,323.385053832
,,,,Sri Lanka,,,,,,34.2113055388,47.4120276412,114.823745551,128.453849858,157.313568295,115.982153714,113.992627355,117.162761241
,,,West Asia,,,2116.87773753,3536.2147401,3566.71036645,3822.05513784,4429.77421718,4962.45889311,9244.78361612,11198.8654867,12421.7213735,12145.2556217,11468.0982381,11416.5083386
,,,,Bahrain,,1.76259595132,9.43829556966,143.981934056,40.8630271331,3.53910057298,7.90200460687,5.88839720772,5.98430719815,9.7960830074,19.2412789571,51.1090667484,40.505594258
,,,,Jordan,,11.4568736836,13.6330936006,13.892993637,5.44840361774,,15.8040092137,17.6651916232,19.6229608125,17.7193854399,10.4223594351,11.1275436465,14.909225248
,,,,Kuwait,,,2.09739901548,,38.1388253242,75.5008122236,84.2880491399,,19.4837908777,10.0842030959,8.81891952201,,0.9235803251
,,,,Lebanon,,27.3202372454,5.2434975387,21.4709901663,27.2420180887,33.0316053478,27.657016124,25.0256881328,25.328928141,23.4817872089,22.3145387906,25.2310582682,30.2142706354
,,,,Oman,,,,,,,,306.196654802,279.035719355,269.680402792,286.214024487,333.179359183,828.715431708
,,,,Qatar,,87.2484995902,89.1394581579,,345.973629726,330.316053478,309.495180436,409.243605937,1999.59362379,3496.04915329,2610.93465849,2713.30918915,2768.10217437
,,,,Saudi Arabia,,244.119539257,936.488660412,1309.73040014,1648.14209437,1847.4104991,2333.72536056,2674.80443161,2825.56718707,2718.98927473,3194.72040685,2364.47363484,2027.91851383
,,,,Turkey,,850.452546511,1175.59214818,1795.98517744,1443.8269587,1882.80150483,2033.4491855,5570.42375851,5505.14511249,5240.76034891,4914.40971364,5104.56656277,5175.34832172
,,,,United Arab Emirates,,94.2988833955,210.788601056,281.648871005,272.420180887,257.174641637,150.138087531,235.535888309,519.103856956,635.160734994,1078.17972156,865.101823494,529.871226515
,,Latin America and the Caribbean,,,,14566.0929417,17603.4699369,18769.4344036,20140.023973,22165.0329785,24509.7793992,33518.8178554,25146.7547063,28711.1668243,35170.6527738,37572.0217324,40659.172472
,,,South America,,,8196.9524716,8741.95909652,8702.06601445,11850.2778686,13615.7456944,15174.877947,21578.6204074,13063.8817835,15625.328637,16060.8558895,18844.4951653,21342.7538526
,,,,Argentina,,1508.78213433,983.680138261,1322.36039436,1165.9583742,1487.60194084,1228.76171637,1720.88408396,1866.26882621,1722.52594882,1264.98047144,1907.20922499,2385.60797973
,,,,"Bolivia, Plurinational State of",,243.238241282,267.418374474,,258.799171843,253.635541064,,276.754668763,122.052032855,115.103975337,20.5774788847,,25.8602491028
,,,,Brazil,,4640.03384184,6063.58055376,5966.40926738,8436.85300207,9707.75287169,11610.678769,17020.4121289,8672.93116933,11016.7037621,10988.7745844,13837.2299145,15953.1348955
,,,,Chile,,811.675435582,551.615941071,847.472611858,871.744578838,646.475704664,728.3014246,853.81759512,699.885602314,943.16110955,2228.24699923,1390.16661556,1530.76841883
,,,,Colombia,,-277.608862332,-214.983399087,303.119861171,371.853546911,427.641319235,465.164671191,507.432629375,349.59487632,415.036987416,459.251915109,294.75051659,304.121807051
,,,,Ecuador,,50.2339846125,60.8245714489,178.082918438,152.555301297,108.532417571,127.749074478,120.712142758,93.9397060174,82.690465386,72.6892760602,83.3271873063,87.872070931
,,,,Paraguay,,82.8420097119,37.7531822787,15.1559930586,16.3452108532,12.9767021009,10.5360061425,11.7767944154,19.6229608125,38.8962119411,27.3920985153,44.1220044588,25.8602491028
,,,,Peru,,-132.194696349,-165.694522223,199.553908604,296.937997167,213.643704589,230.080034137,257.175748047,267.345444829,285.094827524,161.680191237,92.255100232,81.4070086553
,,,,Suriname,,22.9137473671,17.8278916316,18.9449913232,20.4315135665,17.813472884,18.9648110565,,17.8137516596,27.8035885357,26.5903785588,,
,,,,Uruguay,,139.245080154,154.158827638,70.7279676066,53.121935273,127.407620627,139.602081388,200.205505063,189.827791123,101.130151047,93.5339949305,120.979689645,100.14249525
,,,,"Venezuela, Bolivarian Rep.",,1107.7915554,985.777537276,-219.761899349,205.67723657,612.264399126,615.039358568,609.449110999,764.599622014,877.181609295,717.138501131,1074.4549121,847.978678488
,,,Central America,,,2935.60355692,3327.52353806,5004.00370817,5422.52370056,5485.60588812,5411.55615494,6088.60271278,5465.620851,5691.5242273,13001.3589153,11187.063066,11396.4534516
,,,,Costa Rica,,64.3347522231,82.8472611115,122.51094389,119.86487959,84.9384137515,80.3370468365,104.519050437,96.02725504,110.205933833,114.913193772,,156.085074942
,,,,El Salvador,,105.755757079,95.4316552044,8.84099595082,57.2082379863,56.6256091677,73.7520429974,97.1585539274,92.1304968645,87.0122667128,65.2065564658,,
,,,,Guatemala,,59.0469643691,50.3375763715,51.7829762834,57.2082379863,58.9850095497,76.3860445331,89.7980574178,83.9194707089,30.8288494645,21.7800588195,17.726435809,18.9993666878
,,,,Mexico,,2334.55833752,2754.93360683,4740.03682906,5056.11855726,5193.04024075,5066.50195377,5654.33341872,5044.2142883,5392.88775562,12682.1407526,11114.7340323,11154.4754064
,,,,Nicaragua,,19.3885554645,40.8992808019,46.7309785972,107.60597145,56.6256091677,64.5330376228,76.5491637004,76.5434641624,,13.3619992758,,6.33312222926
,,,,Panama,,352.519190263,303.074157737,34.1009843817,24.5178162798,35.3910057298,50.0460291768,66.2444685869,72.7858759217,70.589421671,103.956354366,54.6025978933,60.5604813173
,,,Caribbean,,,3171.7914144,5311.66300671,5063.36468098,2867.22240384,3063.68139601,3923.34529731,5851.59473517,6617.2520718,7394.31396005,6108.43796892,7540.46350101,7919.96516783
,,,,Aruba,,-31.7267271237,98.5777537276,90.9359583513,95.3470633105,82.5790133695,..,..,..,..,,,
,,,,Bahamas,,54.6404744908,8.38959606192,51.7829762834,47.6735316552,40.1098064938,48.729028409,52.9955748695,331.641954725,312.754356016,505.751672588,,
,,,,Barbados,,69.622540077,31.4609852322,138.92993637,,,335.835195792,315.029250613,637.537471505,1054.23140365,,,
,,,,British Virgin Islands,,41.421004856,54.5323744025,89.6729589298,201.590933856,159.259525784,163.308095209,203.149703666,224.202765028,209.463304305,203.236008985,232.125736068,257.678910703
,,,,Cayman Islands,,217.680599988,461.427783406,293.015865799,122.589081399,480.137977734,746.739435349,1500.06918867,2080.7296958,2575.21735059,1742.40470556,3223.49412634,4557.20920414
,,,,Dominican Republic,,115.450034811,103.821251266,64.4129704989,66.7429443173,69.6023112686,76.3860445331,70.6607664927,67.0799085932,,,,-1471.52733798
,,,,Netherlands Antilles,,2292.25603469,4019.66521317,4046.65014663,2331.91674839,2224.91456021,2551.03048725,3522.73362952,3120.74661887,3072.36856322,3647.15770232,4083.54973818,4576.47245092
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (concluded)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Trinidad and Tobago,,213.274110109,319.853349861,286.700868691,,,,186.956611345,155.313647282,170.278972276,9.88787946408,1.29390042401,
,,,,Turks and Caicos Islands,,,1.04869950774,1.26299942155,1.36210090444,7.07820114596,1.31700076781,,,,,,
,,Oceania,,,,48.4713886612,63.9706699722,63.1499710773,,,,,,,,,
,Transition economies,,,,,2442.07669055,2790.5893901,4166.63509168,7016.18175874,8102.77076184,15969.4245102,14155.7068874,10699.3845905,10276.5232549,10140.6884904,9479.89084656,9046.20540426
,,South-East Europe,,,,4.40648987829,6.29219704644,8.84099595082,,1.17970019099,6.58500383906,10.3046951135,23.3805490532,74.0468627324,68.413436292,24.5841080562,22.9575680811
,,,Albania,,,,,,,1.17970019099,1.31700076781,1.47209930193,,0.576240176906,,,
,,,Bosnia and Herzegovina,,,4.40648987829,6.29219704644,8.84099595082,,,5.26800307125,8.83259581158,3.7575882407,3.74556114989,3.87497978998,2.71719089042,1.31940046443
,,,Serbia,,,,,,,,,,19.205451008,69.7250614056,64.1375965237,21.8669171658,21.6381676166
,,CIS,,,,2437.67020067,2784.29719305,4157.79409573,7016.18175874,8101.59106165,15962.8395063,14145.4021923,10676.0040415,10202.4763922,10072.2750541,9455.3067385,9023.24783618
,,,Kazakhstan,,,404.515770827,688.995576585,108.617950253,468.562711126,1163.18438832,,,,,,,
,,,Russian Federation,,,1937.97424847,1986.23686766,3908.98320969,6354.20071919,6660.58727835,15452.3700087,13269.5031076,10127.8136682,9492.69255426,9380.79159156,8728.39348029,8375.68608824
,,,Ukraine,,,95.1801813711,109.064748805,140.192935792,193.41832843,277.819394979,510.469497604,875.899084649,548.190373337,709.783837904,691.483462522,726.913258209,647.561747942
,Unspecified,,,,,-280.252756259,-493.937468146,3405.04644049,8092.24147325,10226.9389257,15921.2222821,19094.6000453,18215.9527713,19853.7790551,46302.4007504,53076.7011232,57673.1053409
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from De Nederlandsche Bank.",,,,,,,,,,,,,,,,,
Note:  Data exclude Special Purpose Entities.,,,,,,,,,,,,,,,,,
