United States,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,Bermuda,,,84969.0,89473.0,84508.0,100856.0,113222.0,133480.0,211708.0,207547.0,287933.0,265524.0,280461.0,304524.0
,,,Israel,,,5690.0,5726.0,7020.0,6171.0,7978.0,9168.0,9487.0,9444.0,9018.0,9464.0,9271.0,10208.0
,,,Japan,,,55651.0,66468.0,57794.0,71005.0,81175.0,84428.0,85224.0,99803.0,91196.0,113523.0,126030.0,133967.0
,,,New Zealand,,,4273.0,3926.0,3859.0,4620.0,5191.0,5933.0,5527.0,4451.0,6141.0,6724.0,7930.0,9466.0
,Developing economies,,,,,359095.00011,387900.0,405357.0,585813.0,518580.00004,576930.99999,670623.00008,732459.00021,802179.00001,895628.0,949523.0,1039824.0
,,Africa,,,,15574.00002,16040.0,19835.0,20356.0,22755.99998,28157.99996,32607.0,36746.00011,43924.0,54799.0,57213.0,61366.0
,,,North Africa,,,6559.0,6512.0,8070.0,8476.0,11004.0,12889.0,14214.0,13243.00001,15805.00001,21579.0,22769.0,26405.0
,,,,Algeria,,3629.0,3384.0,4080.0,3602.0,4975.0,5461.0,5092.0,4919.0,4854.0,5360.0,5084.0,6117.0
,,,,Egypt,,2557.0,2682.0,3524.0,4526.0,5475.0,5564.0,7023.0,7804.0,10257.0,12599.0,14950.0,17134.0
,,,,Libya,,52.0,53.0,56.0,58.0,247.0,1664.0,1676.0,..,..,2719.0,1964.0,2315.0
,,,,Morocco,,275.0,280.0,292.0,167.0,150.0,130.0,248.0,263.0,396.0,550.0,550.0,613.0
,,,,Sudan,,14.0,14.0,3.0,3.0,3.0,3.0,,,,,,
,,,,Tunisia,,32.0,99.0,115.0,120.0,154.0,67.0,175.0,257.0,298.0,351.0,221.0,226.0
,,,Other Africa,,,8284.00002,8609.0,10857.0,11182.00007,10324.00008,14049.00006,16144.00009,17683.0001,23508.00008,30845.00008,30858.0001,30919.00009
,,,,Angola,,1220.0,1110.0,1067.0,1206.0,1197.0,1540.0,1633.0,2645.0,2540.0,4460.0,5473.0,1245.0
,,,,Botswana,,17.0,21.0,3.0,11.0,..,..,19.0,22.0,22.0,22.0,22.0,63.0
,,,,Burkina Faso,,1.0,,,,,,,,,,,
,,,,Cameroon,,148.0,135.0,242.0,264.0,122.0,114.0,73.0,68.0,185.0,194.0,192.0,203.0
,,,,Congo,,126.0,116.0,45.0,169.0,135.0,330.0,316.0,..,277.0,214.0,-198.0,..
,,,,"Congo, Democratic Rep. of",,96.0,70.0,55.0,65.0,51.0,21.0,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (continued)",,,,,,,,,,,,,,,,,
