Czech Republic,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,1135.60970162,1472.98052559,2283.5234062,3759.77463676,3610.4071905,5017.40237593,8557.41044363,12531.1885661,14804.5216137,14922.549624,13214.3610832,16827.6335233
,Developed economies,,,,,768.884062845,1354.39715811,2038.18210242,3082.01947684,2860.06488144,4571.77122054,8104.07600398,12052.5161791,14105.0867814,14161.3840862,12570.2799398,16264.249525
,,Europe,,,,759.032570984,1337.32214936,2004.48939597,3054.95760675,2841.55577131,4541.47614486,8070.72602058,12037.7391709,14090.6998584,14126.4946403,12544.1742728,16214.1123074
,,,European Union,,,521.918425725,1016.41385751,1699.45264641,2721.54659286,2546.50474223,4187.78463307,7947.84688572,11875.9830973,13924.7176611,14075.456989,12454.8990471,16124.3930758
,,,,Austria,,4.50665757467,21.3655312033,5.07319969595,10.2421451375,4.16273519603,3.83272657597,9.94485009404,16.8663289569,20.7181511324,-4.85894085649,11.5700100301,9.235803251
,,,,Belgium,,,,,,,,8.74510454696,,,,177.581644935,
,,,,Bulgaria,,2.85094765438,6.54643976643,3.55702093241,314.306200537,143.836901171,499.013699943,697.916362429,727.302853303,724.109483885,676.620180257,595.426328987,740.183660545
,,,,Croatia,,1.5888761411,,2.10057472519,5.17228562486,2.01194924353,2.87952672926,5.33233764797,1.8881939419,12.731162892,,6.54272818455,1.31940046443
,,,,Cyprus,,8.14956286715,212.774360506,272.152328214,428.117818019,125.541931023,144.143370377,637.016152229,1428.51266412,1342.22256098,1186.15300517,578.347492477,1885.42326367
,,,,Denmark,,,,,,,,1.79759929196,0.795926806575,0.591354529617,,,
,,,,Estonia,,..,..,,,,,,0.589992763362,1.42470601045,0.819262972641,,
,,,,Finland,,2.37068534709,,,,,,,,,,,
,,,,France,,1.12273217684,3.07520752463,6.75010914477,2.08247918623,1.51767691557,2.1506035639,12.2654054652,9.02196836555,1.12260452962,19.8832595595,1.49769307924,126.662444585
,,,,Germany,,30.5916185377,38.7402342988,25.0003665705,51.6542145316,105.42854795,231.328607013,181.684754951,348.413056963,280.178516986,346.135992747,347.975677031,370.751530505
