Latvia,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,39.4984326019,59.0909090909,114.232902033,238.759689922,282.462057336,475.373134328,925.826446281,1053.73737374,891.206543967,879.626168224,863.051470588,1116.94915254
,Developed economies,,,,,29.6238244514,47.9797979798,80.0369685767,180.620155039,225.463743676,396.455223881,736.363636364,783.838383838,672.801635992,651.401869159,633.823529412,838.229755179
,,Europe,,,,28.0564263323,45.7912457912,74.4916820702,168.023255814,221.247892074,389.365671642,734.504132231,782.222222222,672.597137014,650.46728972,633.639705882,836.911487759
,,,European Union,,,28.0564263323,44.7811447811,71.719038817,103.488372093,130.016863406,185.820895522,435.123966942,442.626262626,472.188139059,443.551401869,425.551470588,596.04519774
,,,,Austria,,,,,1.16279069767,1.51770657673,7.08955223881,9.29752066116,9.89898989899,10.8384458078,8.78504672897,8.45588235294,8.47457627119
,,,,Belgium,,,,,,,,,0.606060606061,0.613496932515,0.560747663551,,
,,,,Bulgaria,,,,,,1.85497470489,0.932835820896,1.44628099174,4.24242424242,3.06748466258,0.747663551402,-0.551470588235,2.63653483992
,,,,Croatia,,,1.0101010101,1.84842883549,2.13178294574,1.34907251265,3.17164179104,5.1652892562,4.0404040404,-1.22699386503,-0.934579439252,-0.551470588235,-1.12994350282
,,,,Cyprus,,3.60501567398,4.88215488215,9.24214417745,13.3720930233,12.9848229342,14.552238806,15.4958677686,15.5555555556,58.0777096115,53.2710280374,59.7426470588,52.9190207156
,,,,Czech Republic,,,,,,0.674536256324,,1.03305785124,1.0101010101,1.02249488753,,,14.3126177024
,,,,Denmark,,,,,,8.26306913997,9.51492537313,10.3305785124,10.303030303,2.65848670757,,,0.564971751412
,,,,Estonia,,3.29153605016,5.38720538721,10.5360443623,17.0542635659,27.3187183811,27.4253731343,75.4132231405,54.3434343434,78.3231083845,95.3271028037,108.823529412,115.065913371
,,,,Finland,,,,0.739371534196,1.5503875969,0.843170320405,0.746268656716,0.826446280992,-2.22222222222,-1.63599182004,3.73831775701,9.19117647059,14.1242937853
,,,,France,,,,,,,1.86567164179,10.1239669421,,8.58895705521,17.1962616822,15.0735294118,15.4425612053
,,,,Germany,,0.783699059561,1.17845117845,2.03327171904,3.68217054264,3.20404721754,9.14179104478,2.89256198347,49.696969697,23.1083844581,-11.5887850467,-31.6176470588,7.34463276836
,,,,Ireland,,,,,,0.505902192243,0.559701492537,,,,,,
,,,,Italy,,,,,,,,,,,,1.10294117647,0.941619585687
,,,,Lithuania,,14.1065830721,19.8653198653,27.7264325323,40.8914728682,56.9983136594,81.9029850746,165.082644628,198.787878788,208.384458078,192.897196262,182.169117647,218.267419962
,,,,Luxembourg,,,,,,0.505902192243,0.559701492537,96.2809917355,18.3838383838,17.5869120654,,1.65441176471,18.0790960452
,,,,Malta,,4.07523510972,5.05050505051,9.0573012939,3.68217054264,1.34907251265,10.8208955224,11.9834710744,3.83838383838,2.24948875256,2.05607476636,,2.07156308851
,,,,Netherlands,,,,,,0.505902192243,,1.03305785124,1.0101010101,,,,0.75329566855
,,,,Poland,,,,,,,,2.06611570248,53.1313131313,36.4008179959,41.308411215,37.5,48.3992467043
,,,,Portugal,,,,,,,,-0.826446280992,-1.61616161616,-2.65848670757,-3.36448598131,-4.77941176471,28.6252354049
,,,,Romania,,,1.0101010101,1.47874306839,1.74418604651,2.36087689713,1.86567164179,3.92561983471,4.0404040404,3.68098159509,2.24299065421,3.86029411765,5.83804143126
,,,,Slovakia,,,1.6835016835,2.58780036969,3.68217054264,2.86677908938,1.11940298507,1.44628099174,1.0101010101,4.90797546012,21.8691588785,18.9338235294,19.7740112994
,,,,Slovenia,,,0.841750841751,1.10905730129,1.5503875969,,1.30597014925,0.619834710744,,0.81799591002,0.934579439252,0.919117647059,0.941619585687
,,,,Spain,,,,0.554528650647,0.581395348837,,0.559701492537,,,,,,0.564971751412
,,,,Sweden,,,0.505050505051,0.924214417745,4.26356589147,2.36087689713,5.41044776119,12.6033057851,8.48484848485,7.56646216769,12.1495327103,9.19117647059,13.5593220339
,,,,United Kingdom,,1.88087774295,2.86195286195,2.95748613678,6.39534883721,3.87858347386,6.34328358209,8.47107438017,7.07070707071,8.58895705521,5.60747663551,5.88235294118,8.09792843691
,,,Other developed Europe,,,,1.0101010101,2.77264325323,64.5348837209,91.2310286678,203.544776119,299.380165289,339.595959596,200.408997955,206.91588785,208.088235294,240.866290019
,,,,Iceland,,,0.841750841751,0.924214417745,4.84496124031,,,,,0.613496932515,0.934579439252,,
,,,,Norway,,,,1.66358595194,1.74418604651,7.9258010118,36.3805970149,45.6611570248,40.202020202,40.490797546,34.2056074766,33.2720588235,6.0263653484
,,,,Switzerland,,,,,57.5581395349,83.305227656,167.164179104,253.719008264,299.393939394,159.304703476,171.775700935,174.816176471,234.83992467
,,North America,,,,1.41065830721,2.0202020202,5.36044362292,11.0465116279,3.5413153457,5.22388059701,1.23966942149,1.21212121212,,0.934579439252,,1.31826741996
,,,Canada,,,,,,0.581395348837,,,,,,,,1.5065913371
