country,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom,Turkey,Singapore,Indonesia,United States,Bahamas,British Virgin Islands,Cayman Islands,Netherlands Antilles,Gibraltar,Guernsey,Isle of Man,Jersey,Liechtenstein,Switzerland
Finland,960.6331459,25467.9851748,C ,19.589646,390.118383546,114.975306825,2042.53425555,,-44.4187076939,5019.99545822,16.7048046891,266.846223307,141.878056649,403.703521387,472.153505699,418.827792045,3781.2791181,C ,20060.8948402,1556.77286729,30.4427578216,264.605853864,161.656035378,9.78024351315,982.287885602,32463.9296441,1793.62414294,332.574126289,2207.36218176,7.64759595,9305.05895403,C ,C ,,,,C ,C ,,,-1007.6697799
Spain,2379.08944405,6248.6360859,637.487647193,C ,C ,5387.65473237,C ,C ,25626.3343034,14512.2415603,1128.82396887,16764.87433,11357.4797039,8568.78127108,C ,C ,27904.6697393,795.128001198,54234.2795347,9096.49966704,32700.2058443,1684.04346275,C ,C ,,1682.76951081,88287.0434245,7527.21968697,C ,C ,59702.1495561,C ,C ,942.762850347,,C ,C ,C ,C ,C ,20626.2729756
Malta,C ,-1.2822549,C ,C ,23.2306806,C ,C ,C ,3.402957,12.1924197,C ,C ,-3.0911271,57.26853156,C ,C ,C ,,218.0337951,C ,C ,C ,C ,C ,-2.4532344,C ,173.82783099,7.41314127,C ,,7.5421431,C ,C ,,,C ,C ,C ,C ,C ,-3.0937149
Ireland,C ,C ,C ,C ,C ,C ,C ,C ,2560.6281,5408.502,C ,18856.0047,,809.9814,C ,C ,62798.1426,2.5878,44511.4539,203.1423,C ,C ,C ,,C ,C ,69180.9513,C ,1561.7373,C ,24829.941,C ,C ,C ,,C ,C ,C ,6624.768,,5719.038
Austria,,2510.34922789,5412.37074935,7826.86427596,3722.68346042,14022.5419561,264.956077121,977.798481941,2517.70266861,26133.5960175,583.797330094,8910.86235512,118.830075815,3942.84616613,218.974582027,64.7372548923,1907.15174603,1303.17310829,12140.0479446,5049.68754775,240.433926466,9605.08597886,6853.24372078,3388.57909651,875.490388608,959.643168084,5166.49174104,6617.89038065,957.318640504,125.082110042,5982.88690242,,4790.57980417,1957.35807823,,C ,482.482672479,-492.355645745,1067.1421372,873.858410653,4629.00766718
Cyprus,C ,C ,215.211748052,C ,,30.8104358333,12.8451599154,C ,20.4263677843,35.9883580991,-1466.93202042,C ,C ,C ,71.0133306741,7.02193998577,459.522461359,135.669567332,C ,102.658706242,C ,1124.11445943,C ,C ,C ,4.35882576733,2863.24730865,C ,C ,C ,1547.15328193,552.607193651,2869.32370392,0.081384822015,C ,C ,443.675002416,C ,C ,C ,1921.64577268
Latvia,8.52444852941,0.455698529412,-0.476838235294,-0.589338235294,59.5814338235,,108.871323529,9.31617647059,15.0523897059,-31.3266544118,,,0.000183823529412,1.09172794118,,182.017279412,1.71911764706,0.0766544117647,-0.102389705882,37.5042279412,-4.88290441176,3.93235294118,18.8056985294,0.910477941176,0.0928308823529,9.40036764706,5.90128676471,-0.0119485294118,,,-0.0319852941176,,9.63014705882,,,,,,,,174.899448529
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,249.195294668,2741.44086147,47.1118394101,43.2785158307,4297.06794639,2461.63750219,18.2009714988,216.099959033,1008.36893545,2243.54772634,12.8752853046,491.162872359,427.488734125,544.12711418,30.4032305261,2469.59676947,11762.7728683,191.461344882,3414.20378065,,20.395622403,637.004740446,195.967694739,18.4643296073,469.508983438,31.398138936,5646.16375022,241.499385498,296.04377597,27.740387429,2020.36636039,17.5279452215,9.01269971323,6.08649850764,,,0.468192192895,155.352022005,9.62720196641,103.265640545,4919.06127465
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
