country,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom,Turkey,Singapore,Indonesia,United States,Bahamas,British Virgin Islands,Cayman Islands,Netherlands Antilles,Gibraltar,Guernsey,Isle of Man,Jersey,Liechtenstein,Switzerland
Netherlands,5915.19517841,95203.7699083,307.948300915,107.652515278,3807.56077774,6654.01232052,232.77268628,4441.05442533,47042.0789357,76648.3320977,1205.91519518,4588.30029359,17859.5781626,24608.9509444,41.0166434412,117.744938585,76695.9476333,,..,10104.3271912,3340.98028484,1756.08165547,1016.4881731,,24784.1450618,5583.30971965,135250.634982,5104.56656277,21052.1480688,2172.84698204,98164.2140784,,232.125736068,3223.49412634,4083.54973818,,,,,,93366.5606962
Germany,40819.9705767,75932.5463831,3448.24462999,3117.00612144,381.700625083,31181.7063182,738.81714211,8348.24553572,60874.1332485,..,4334.56642044,22490.5771702,19303.7004258,46896.1269679,575.785688685,1168.39208288,64731.2504124,24329.2096727,105923.864311,27887.4358387,5847.13601611,8751.94246801,11342.3311169,1526.80250033,35553.795851,33676.3463357,151546.793262,9680.96297245,15411.6479504,3267.09857063,328485.088445,99.6303326489,143.622947065,2816.82122307,349.353114483,..,938.077807408,546.025978933,2402.77308739,436.044442892,50090.7671147
Malta,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,..,39351.3935955,..,..,..,..,..,..,3738.07832497,9083.18097656,..,..,,1381.88565284,..,..,..,..,2727.54209382,..,..,..,..,..,6597.59826203,..,,..,..,..,3809.24284829,..,..,..,..,..,..,,..,..,1696.30345588
United Kingdom,1544.55316958,58793.5168965,136.056735659,..,994.14182987,677.191479756,132.964537121,2370.17017915,82652.9208134,31667.2052246,2190.82266396,1556.92196373,69333.2756123,18101.7302397,74.2127649048,63.3900700228,212449.500533,514.851056527,224131.826608,5868.99282455,4659.94319631,819.43261249,425.177298934,494.751766032,57735.9849967,36038.0278576,..,..,14746.6948263,8437.06371011,317694.023862,..,..,..,..,..,..,,..,..,29485.6591562
Romania,32.3475106003,1.29390042401,,,208.317968266,-6.46950212006,..,..,,,1.29390042401,125.508341129,..,37.5231122963,..,..,..,..,2.58780084802,,..,..,10.3512033921,1.29390042401,16.8207055121,..,1.29390042401,7.76340254407,..,..,1.29390042401,..,..,..,..,..,..,..,..,..,6.46950212006
Lithuania,,4.49913838316,47.2390799431,,223.731924777,1.19502509927,61.7367198621,2.35633475687,5.38323218701,20.3453959691,..,5.33453210459,,1.7157413651,318.779501011,..,,..,588.29699558,170.513973177,,35.000374616,,..,,2.42001948003,117.861691766,,,..,..,..,,..,..,..,..,..,..,..,
Austria,..,2510.16682258,5412.38547364,7826.80366484,3722.55151988,14021.998895,265.249586922,978.188720552,2520.51802597,26134.2007642,583.549091229,8911.09222016,119.038839009,3942.51459196,218.669171658,64.6950212006,1907.20922499,1302.95772698,12140.6676785,5050.09335492,240.665478866,9604.62284743,6853.79054599,3388.72521049,875.970587056,960.074114616,5166.54439308,6618.30066882,957.486313768,125.508341129,6831.79423878,..,..,..,..,..,..,..,..,873.382786208,4629.57571711
Portugal,,,,,,,,,572.942989453,2442.71320568,,487.623195494,1578.76942306,1441.89804841,,..,3831.21974699,,27044.2281043,1807.4443267,..,,,,8172.20003183,,1500.50138641,114.140132004,,,1411.15238653,,,,,,,,,,88.7343971783
Spain,2477.81931198,8275.78711198,688.355025574,..,..,5422.73667703,..,597.781995893,26893.7203131,17634.5688788,1190.38839009,16815.5299104,12174.3090895,9309.61355076,..,..,29170.9850593,830.684072215,58457.1272564,11030.5011147,33786.3278718,1980.96154916,390.757928051,..,..,2458.41080562,94374.5091265,7524.03096562,..,..,61272.654579,..,..,962.661915464,..,..,..,..,388.170127203,..,24989.0988889
Croatia,16.1789309018,-6.99353179178,1.66783764655,..,1.51774519737,14.3610008061,..,4.67486223195,-1.94473233729,221.348839436,..,93.0831965034,,3.11830002187,..,..,0.612014900557,86.7663746333,-56.5279217242,81.1133236808,..,13.2288379351,0.806099964159,685.35188269,..,,26.4007442515,3.67985280589,..,..,1.21109079687,50.7661831361,11.4303163457,..,..,..,..,..,..,-8.41941005904,32.5959394817
Indonesia,..,323.475106003,0.637892909038,..,..,1.17617853561,,..,108.687635617,,..,2.6517284361,..,10.4417764218,..,..,..,..,160.831822705,4.9160180254,,,,..,..,..,..,11.0,1208.65687707,..,169.0,..,..,..,..,..,..,..,..,..,..
Singapore,..,..,..,..,..,..,..,..,,1290.76651034,..,..,..,..,..,..,..,..,5703.54424541,..,..,..,..,..,..,..,28597.755055,..,..,26782.8092566,5864.84200815,..,25118.5515492,7871.45383255,..,..,..,..,..,..,2580.84108557
Turkey,546.0,202.0,75.0,9.0,..,,,1.0,28.0,935.0,20.0,20.0,732.0,10.0,3.0,,809.0,1123.0,7452.0,10.0,,244.0,8.0,..,24.0,,282.0,..,1.0,105.0,1599.0,6.0,..,156.0,..,,..,..,14.0,..,386.0
Slovakia,201.848466146,..,3.88170127203,,388.170127203,2329.02076322,..,..,78.9279258647,16.8207055121,..,139.741245793,,25.8780084802,..,..,192.791163178,..,27.1719089042,131.977843249,..,-6.46950212006,..,20.7024067842,,..,90.5730296808,36.2292118723,..,..,14.2329046641,..,..,..,..,..,..,..,..,51.7560169604,29.7597097523
Bulgaria,65.3057422007,11.4329041466,..,3.1467658312,48.0179386355,30.4933512927,1.87615561482,..,32.6515771999,61.7190502253,31.9619282739,2.52828142852,2.71201528873,236.307622238,13.869318645,-0.837153574335,7.80610125806,173.037185404,-57.6536150931,2.65637757049,,111.892626967,3.02902089261,0.73881714211,21.2341998584,,62.2896603123,80.3059298163,..,..,78.352140176,..,9.31478915246,6.00111016656,..,,..,7.52920656732,..,,46.1521342241
Finland,991.528833924,27963.6983297,..,19.5896524195,482.30138305,125.831816235,2156.2462396,..,36.6691380165,5738.57777053,22.5526843905,307.17196066,237.417788802,474.059237349,476.051844002,433.521337065,4076.00629871,,21618.4106504,1712.98183234,42.3364218736,267.902082792,167.922397028,15.1386349609,1038.18688321,33562.4830984,1851.89498187,334.525015624,2203.96528724,7.64695150591,9441.8760521,..,..,,..,..,,..,..,..,-982.329201909
Ireland,..,..,..,..,..,..,..,..,2560.62893912,5408.50377237,..,..,..,809.981665431,..,..,62798.163179,..,44511.4684864,..,..,..,..,..,..,..,69180.9739706,..,..,..,24829.9491368,..,..,..,..,..,..,..,..,..,5719.03987413
Slovenia,124.214440705,3.23475106003,21.8669171658,2113.97451275,36.0998218299,39.9815231019,..,1.81146059362,17.3382656817,241.053648993,16.5619254273,28.8539794554,0.517560169604,48.7800459852,,0.517560169604,12.4214440705,,200.037005552,102.347523539,1.03512033921,35.8410417451,57.0610086989,..,17.5970457666,44.510174586,23.1608175898,14.6210747913,..,,47.3567555188,..,..,..,,22.7726474626,..,..,..,4.14048135684,57.9667389957
Czech Republic,11.5700100301,177.581644935,595.426328987,6.54272818455,578.347492477,..,,,1.49769307924,347.975677031,..,72.4013540622,433.252507523,14.9820461384,6.76544633902,3.29067201605,79.3635907723,17.4827983952,6495.69658977,536.188766299,,704.251454363,2158.89237713,5.66228686058,18.0042627884,,122.240170512,107.8388666,,..,24.4607321966,..,,,..,,12.6880641926,..,,50.6301905717,25.9269809428
Netherlands Antilles,..,,,14.2212595603,,,,..,7.76340254407,,..,..,..,5.05915065788,,,..,..,12667.155761,,,,..,..,,..,..,,..,..,,..,..,..,..,..,..,..,..,..,..
